study,arm,rep,capsule,iter,total_ms
loo,full_stack_ovl,3,ecc08f50,5,53.735
loo,full_stack_ovl,3,ecc08f50,6,53.686
loo,full_stack_ovl,3,ecc08f50,7,54.83
loo,full_stack_ovl,3,ecc08f50,8,53.238
loo,full_stack_ovl,3,ecc08f50,9,52.282
loo,full_stack_ovl_pv3c_14,3,ecc08f50,0,60.917
loo,full_stack_ovl_pv3c_14,3,ecc08f50,1,56.958
loo,full_stack_ovl_pv3c_14,3,ecc08f50,2,54.081
loo,full_stack_ovl_pv3c_14,3,ecc08f50,3,52.632
loo,full_stack_ovl_pv3c_14,3,ecc08f50,4,56.32
loo,full_stack_ovl_pv3c_14,3,ecc08f50,5,54.114
loo,full_stack_ovl_pv3c_14,3,ecc08f50,6,55.116
loo,full_stack_ovl_pv3c_14,3,ecc08f50,7,52.71
loo,full_stack_ovl_pv3c_14,3,ecc08f50,8,54.644
loo,full_stack_ovl_pv3c_14,3,ecc08f50,9,52.068
loo,placement_swap_seq,4,93933b2f,0,70.952
loo,placement_swap_seq,4,93933b2f,1,61.149
loo,placement_swap_seq,4,93933b2f,2,54.967
loo,placement_swap_seq,4,93933b2f,3,53.304
loo,placement_swap_seq,4,93933b2f,4,57.695
loo,placement_swap_seq,4,93933b2f,5,55.799
loo,placement_swap_seq,4,93933b2f,6,53.689
loo,placement_swap_seq,4,93933b2f,7,53.607
loo,placement_swap_seq,4,93933b2f,8,57.778
loo,placement_swap_seq,4,93933b2f,9,53.261
loo,placement_swap_seq_pv3c_14,4,93933b2f,0,68.067
loo,placement_swap_seq_pv3c_14,4,93933b2f,1,60.364
loo,placement_swap_seq_pv3c_14,4,93933b2f,2,54.699
loo,placement_swap_seq_pv3c_14,4,93933b2f,3,53.09
loo,placement_swap_seq_pv3c_14,4,93933b2f,4,58.256
loo,placement_swap_seq_pv3c_14,4,93933b2f,5,55.067
loo,placement_swap_seq_pv3c_14,4,93933b2f,6,54.825
loo,placement_swap_seq_pv3c_14,4,93933b2f,7,53.84
loo,placement_swap_seq_pv3c_14,4,93933b2f,8,57.213
loo,placement_swap_seq_pv3c_14,4,93933b2f,9,53.792
loo,full_stack_seq,4,93933b2f,0,67.158
loo,full_stack_seq,4,93933b2f,1,61.647
loo,full_stack_seq,4,93933b2f,2,56.322
loo,full_stack_seq,4,93933b2f,3,53.967
loo,full_stack_seq,4,93933b2f,4,53.968
loo,full_stack_seq,4,93933b2f,5,55.836
loo,full_stack_seq,4,93933b2f,6,54.207
loo,full_stack_seq,4,93933b2f,7,53.196
loo,full_stack_seq,4,93933b2f,8,54.665
loo,full_stack_seq,4,93933b2f,9,52.688
loo,full_stack_seq_pv3c_14,4,93933b2f,0,68.717
loo,full_stack_seq_pv3c_14,4,93933b2f,1,62.108
loo,full_stack_seq_pv3c_14,4,93933b2f,2,55.781
loo,full_stack_seq_pv3c_14,4,93933b2f,3,53.34
loo,full_stack_seq_pv3c_14,4,93933b2f,4,54.765
loo,full_stack_seq_pv3c_14,4,93933b2f,5,54.344
loo,full_stack_seq_pv3c_14,4,93933b2f,6,54.73
loo,full_stack_seq_pv3c_14,4,93933b2f,7,53.117
loo,full_stack_seq_pv3c_14,4,93933b2f,8,53.408
loo,full_stack_seq_pv3c_14,4,93933b2f,9,52.99
loo,full_stack_ovl,4,93933b2f,0,59.971
loo,full_stack_ovl,4,93933b2f,1,56.966
loo,full_stack_ovl,4,93933b2f,2,54.713
loo,full_stack_ovl,4,93933b2f,3,54.677
loo,full_stack_ovl,4,93933b2f,4,55.125
loo,full_stack_ovl,4,93933b2f,5,55.063
loo,full_stack_ovl,4,93933b2f,6,54.727
loo,full_stack_ovl,4,93933b2f,7,54.185
loo,full_stack_ovl,4,93933b2f,8,54.075
loo,full_stack_ovl,4,93933b2f,9,54.946
loo,full_stack_ovl_pv3c_14,4,93933b2f,0,59.064
loo,full_stack_ovl_pv3c_14,4,93933b2f,1,59.417
loo,full_stack_ovl_pv3c_14,4,93933b2f,2,54.393
loo,full_stack_ovl_pv3c_14,4,93933b2f,3,54.415
loo,full_stack_ovl_pv3c_14,4,93933b2f,4,55.577
loo,full_stack_ovl_pv3c_14,4,93933b2f,5,53.405
loo,full_stack_ovl_pv3c_14,4,93933b2f,6,53.4
loo,full_stack_ovl_pv3c_14,4,93933b2f,7,54.006
loo,full_stack_ovl_pv3c_14,4,93933b2f,8,56.356
loo,full_stack_ovl_pv3c_14,4,93933b2f,9,51.897
loo,placement_swap_seq,5,3210939f,0,69.972
loo,placement_swap_seq,5,3210939f,1,63.633
loo,placement_swap_seq,5,3210939f,2,56.818
loo,placement_swap_seq,5,3210939f,3,55.071
loo,placement_swap_seq,5,3210939f,4,53.103
loo,placement_swap_seq,5,3210939f,5,52.406
loo,placement_swap_seq,5,3210939f,6,56.463
loo,placement_swap_seq,5,3210939f,7,55.74
loo,placement_swap_seq,5,3210939f,8,53.802
loo,placement_swap_seq,5,3210939f,9,53.026
loo,placement_swap_seq_pv3c_14,5,3210939f,0,66.942
loo,placement_swap_seq_pv3c_14,5,3210939f,1,60.612
loo,placement_swap_seq_pv3c_14,5,3210939f,2,53.716
loo,placement_swap_seq_pv3c_14,5,3210939f,3,53.63
loo,placement_swap_seq_pv3c_14,5,3210939f,4,54.414
loo,placement_swap_seq_pv3c_14,5,3210939f,5,53.711
loo,placement_swap_seq_pv3c_14,5,3210939f,6,53.542
loo,placement_swap_seq_pv3c_14,5,3210939f,7,52.693
loo,placement_swap_seq_pv3c_14,5,3210939f,8,54.656
loo,placement_swap_seq_pv3c_14,5,3210939f,9,53.457
loo,full_stack_seq,5,3210939f,0,67.14
loo,full_stack_seq,5,3210939f,1,61.471
loo,full_stack_seq,5,3210939f,2,55.267
loo,full_stack_seq,5,3210939f,3,53.45
loo,full_stack_seq,5,3210939f,4,54.726
loo,full_stack_seq,5,3210939f,5,54.059
loo,full_stack_seq,5,3210939f,6,54.974
loo,full_stack_seq,5,3210939f,7,55.376
loo,full_stack_seq,5,3210939f,8,55.108
loo,full_stack_seq,5,3210939f,9,53.277
loo,full_stack_seq_pv3c_14,5,3210939f,0,66.617
loo,full_stack_seq_pv3c_14,5,3210939f,1,59.937
loo,full_stack_seq_pv3c_14,5,3210939f,2,54.384
loo,full_stack_seq_pv3c_14,5,3210939f,3,52.515
loo,full_stack_seq_pv3c_14,5,3210939f,4,56.469
loo,full_stack_seq_pv3c_14,5,3210939f,5,54.431
loo,full_stack_seq_pv3c_14,5,3210939f,6,54.295
loo,full_stack_seq_pv3c_14,5,3210939f,7,54.096
loo,full_stack_seq_pv3c_14,5,3210939f,8,53.317
loo,full_stack_seq_pv3c_14,5,3210939f,9,53.647
loo,full_stack_ovl,5,3210939f,0,59.759
loo,full_stack_ovl,5,3210939f,1,55.471
loo,full_stack_ovl,5,3210939f,2,53.92
loo,full_stack_ovl,5,3210939f,3,54.664
loo,full_stack_ovl,5,3210939f,4,55.288
loo,full_stack_ovl,5,3210939f,5,52.488
loo,full_stack_ovl,5,3210939f,6,56.206
loo,full_stack_ovl,5,3210939f,7,52.696
loo,full_stack_ovl,5,3210939f,8,54.935
loo,full_stack_ovl,5,3210939f,9,56.828
loo,full_stack_ovl_pv3c_14,5,3210939f,0,58.896
loo,full_stack_ovl_pv3c_14,5,3210939f,1,58.039
loo,full_stack_ovl_pv3c_14,5,3210939f,2,55.427
loo,full_stack_ovl_pv3c_14,5,3210939f,3,52.904
loo,full_stack_ovl_pv3c_14,5,3210939f,4,54.585
loo,full_stack_ovl_pv3c_14,5,3210939f,5,51.797
loo,full_stack_ovl_pv3c_14,5,3210939f,6,54.379
loo,full_stack_ovl_pv3c_14,5,3210939f,7,53.686
loo,full_stack_ovl_pv3c_14,5,3210939f,8,55.348
loo,full_stack_ovl_pv3c_14,5,3210939f,9,55.729
matched,placement_swap_seq,1,24c4806a,0,53.373
matched,placement_swap_seq,1,24c4806a,1,47.944
matched,placement_swap_seq,1,24c4806a,2,49.756
matched,placement_swap_seq,1,24c4806a,3,46.598
matched,placement_swap_seq,1,24c4806a,4,48.356
matched,placement_swap_seq,1,24c4806a,5,49.47
matched,placement_swap_seq,1,24c4806a,6,47.562
matched,placement_swap_seq,1,24c4806a,7,50.546
matched,placement_swap_seq,1,24c4806a,8,47.851
matched,placement_swap_seq,1,24c4806a,9,53.452
matched,placement_swap_seq_pv3c_14,1,24c4806a,0,55.151
matched,placement_swap_seq_pv3c_14,1,24c4806a,1,46.24
matched,placement_swap_seq_pv3c_14,1,24c4806a,2,49.408
matched,placement_swap_seq_pv3c_14,1,24c4806a,3,47.194
matched,placement_swap_seq_pv3c_14,1,24c4806a,4,49.384
matched,placement_swap_seq_pv3c_14,1,24c4806a,5,48.025
matched,placement_swap_seq_pv3c_14,1,24c4806a,6,47.223
matched,placement_swap_seq_pv3c_14,1,24c4806a,7,46.555
matched,placement_swap_seq_pv3c_14,1,24c4806a,8,47.67
matched,placement_swap_seq_pv3c_14,1,24c4806a,9,47.839
matched,full_stack_seq,1,24c4806a,0,53.715
matched,full_stack_seq,1,24c4806a,1,47.42
matched,full_stack_seq,1,24c4806a,2,47.868
matched,full_stack_seq,1,24c4806a,3,46.396
matched,full_stack_seq,1,24c4806a,4,46.473
matched,full_stack_seq,1,24c4806a,5,46.595
matched,full_stack_seq,1,24c4806a,6,49.859
matched,full_stack_seq,1,24c4806a,7,49.878
matched,full_stack_seq,1,24c4806a,8,46.165
matched,full_stack_seq,1,24c4806a,9,48.735
matched,full_stack_seq_pv3c_14,1,24c4806a,0,53.926
matched,full_stack_seq_pv3c_14,1,24c4806a,1,46.372
matched,full_stack_seq_pv3c_14,1,24c4806a,2,47.064
matched,full_stack_seq_pv3c_14,1,24c4806a,3,47.387
matched,full_stack_seq_pv3c_14,1,24c4806a,4,48.217
matched,full_stack_seq_pv3c_14,1,24c4806a,5,45.348
matched,full_stack_seq_pv3c_14,1,24c4806a,6,47.837
matched,full_stack_seq_pv3c_14,1,24c4806a,7,46.152
matched,full_stack_seq_pv3c_14,1,24c4806a,8,49.88
matched,full_stack_seq_pv3c_14,1,24c4806a,9,46.864
matched,full_stack_ovl,1,24c4806a,0,49.153
matched,full_stack_ovl,1,24c4806a,1,46.722
matched,full_stack_ovl,1,24c4806a,2,48.529
matched,full_stack_ovl,1,24c4806a,3,48.364
matched,full_stack_ovl,1,24c4806a,4,45.999
matched,full_stack_ovl,1,24c4806a,5,48.5
matched,full_stack_ovl,1,24c4806a,6,48.077
matched,full_stack_ovl,1,24c4806a,7,48.721
matched,full_stack_ovl,1,24c4806a,8,46.524
matched,full_stack_ovl,1,24c4806a,9,46.764
matched,full_stack_ovl_pv3c_14,1,24c4806a,0,49.344
matched,full_stack_ovl_pv3c_14,1,24c4806a,1,44.846
matched,full_stack_ovl_pv3c_14,1,24c4806a,2,47.986
matched,full_stack_ovl_pv3c_14,1,24c4806a,3,46.563
matched,full_stack_ovl_pv3c_14,1,24c4806a,4,47.194
matched,full_stack_ovl_pv3c_14,1,24c4806a,5,45.813
matched,full_stack_ovl_pv3c_14,1,24c4806a,6,46.794
matched,full_stack_ovl_pv3c_14,1,24c4806a,7,49.317
matched,full_stack_ovl_pv3c_14,1,24c4806a,8,49.47
matched,full_stack_ovl_pv3c_14,1,24c4806a,9,44.667
matched,placement_swap_seq,2,298e10f2,0,52.007
matched,placement_swap_seq,2,298e10f2,1,47.952
matched,placement_swap_seq,2,298e10f2,2,48.249
matched,placement_swap_seq,2,298e10f2,3,44.89
matched,placement_swap_seq,2,298e10f2,4,49.853
matched,placement_swap_seq,2,298e10f2,5,48.505
matched,placement_swap_seq,2,298e10f2,6,46.389
matched,placement_swap_seq,2,298e10f2,7,47.222
matched,placement_swap_seq,2,298e10f2,8,49.627
matched,placement_swap_seq,2,298e10f2,9,49.373
matched,placement_swap_seq_pv3c_14,2,298e10f2,0,54.523
matched,placement_swap_seq_pv3c_14,2,298e10f2,1,45.602
matched,placement_swap_seq_pv3c_14,2,298e10f2,2,50.743
matched,placement_swap_seq_pv3c_14,2,298e10f2,3,47.717
matched,placement_swap_seq_pv3c_14,2,298e10f2,4,50.18
matched,placement_swap_seq_pv3c_14,2,298e10f2,5,47.737
matched,placement_swap_seq_pv3c_14,2,298e10f2,6,46.713
matched,placement_swap_seq_pv3c_14,2,298e10f2,7,48.162
matched,placement_swap_seq_pv3c_14,2,298e10f2,8,47.98
matched,placement_swap_seq_pv3c_14,2,298e10f2,9,45.951
matched,full_stack_seq,2,298e10f2,0,53.118
matched,full_stack_seq,2,298e10f2,1,48.556
matched,full_stack_seq,2,298e10f2,2,48.159
matched,full_stack_seq,2,298e10f2,3,47.91
matched,full_stack_seq,2,298e10f2,4,50.522
matched,full_stack_seq,2,298e10f2,5,46.635
matched,full_stack_seq,2,298e10f2,6,46.909
matched,full_stack_seq,2,298e10f2,7,46.052
matched,full_stack_seq,2,298e10f2,8,48.273
matched,full_stack_seq,2,298e10f2,9,49.96
matched,full_stack_seq_pv3c_14,2,298e10f2,0,52.609
matched,full_stack_seq_pv3c_14,2,298e10f2,1,46.266
matched,full_stack_seq_pv3c_14,2,298e10f2,2,48.576
matched,full_stack_seq_pv3c_14,2,298e10f2,3,47.322
matched,full_stack_seq_pv3c_14,2,298e10f2,4,50.316
matched,full_stack_seq_pv3c_14,2,298e10f2,5,47.323
matched,full_stack_seq_pv3c_14,2,298e10f2,6,48.272
matched,full_stack_seq_pv3c_14,2,298e10f2,7,46.801
matched,full_stack_seq_pv3c_14,2,298e10f2,8,50.64
matched,full_stack_seq_pv3c_14,2,298e10f2,9,44.719
matched,full_stack_ovl,2,298e10f2,0,52.177
matched,full_stack_ovl,2,298e10f2,1,48.613
matched,full_stack_ovl,2,298e10f2,2,47.838
matched,full_stack_ovl,2,298e10f2,3,48.292
matched,full_stack_ovl,2,298e10f2,4,47.524
matched,full_stack_ovl,2,298e10f2,5,47.46
matched,full_stack_ovl,2,298e10f2,6,48.403
