baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,4,32,ok,20260830-130601_perlmutter_ebd79995,ours_l01_s2_swap_force_p2p_r2_trace-610042_b32_k8_isolated,23.918,11.169,0.116,12.77,2.043,0.668,27.207,22.973,24.635,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,4,64,ok,20260830-130601_perlmutter_ebd79995,ours_l01_s2_swap_force_p2p_r2_trace-610042_b64_k8_isolated,44.007,19.733,0.229,24.279,2.179,0.191,47.209,42.447,46.653,
PLL-pv2,llc_l01_s1_pv2,K2,4,1,ok,20260830-125817_perlmutter_c8585b0e,llc_l01_s1_pv2_trace-610042_b1_k8_isolated,5.003,3.556,0.009,1.444,0.901,0.267,6.144,4.975,5.078,
PLL-pv2,llc_l01_s1_pv2,K2,4,2,ok,20260830-125817_perlmutter_c8585b0e,llc_l01_s1_pv2_trace-610042_b2_k8_isolated,5.62,3.874,0.012,1.749,0.913,0.284,6.829,5.529,5.69,
PLL-pv2,llc_l01_s1_pv2,K2,4,4,ok,20260830-125817_perlmutter_c8585b0e,llc_l01_s1_pv2_trace-610042_b4_k8_isolated,7.139,4.548,0.018,2.592,0.942,0.275,8.368,7.089,7.324,
PLL-pv2,llc_l01_s1_pv2,K2,4,8,ok,20260830-125817_perlmutter_c8585b0e,llc_l01_s1_pv2_trace-610042_b8_k8_isolated,10.321,5.933,0.032,4.351,1.107,0.277,11.719,10.066,10.462,
PLL-pv2,llc_l01_s1_pv2,K2,4,16,ok,20260830-125817_perlmutter_c8585b0e,llc_l01_s1_pv2_trace-610042_b16_k8_isolated,16.694,8.803,0.057,7.838,1.182,0.277,18.203,16.152,17.271,
PLL-pv2,llc_l01_s1_pv2,K2,4,32,ok,20260830-125817_perlmutter_c8585b0e,llc_l01_s1_pv2_trace-610042_b32_k8_isolated,31.835,15.451,0.11,16.253,1.362,0.3,33.816,31.164,32.412,
PLL-pv2,llc_l01_s1_pv2,K2,4,64,ok,20260830-125817_perlmutter_c8585b0e,llc_l01_s1_pv2_trace-610042_b64_k8_isolated,57.295,28.473,0.226,28.639,1.746,0.603,59.445,56.051,59.707,
Slipstream,l01_slipstream,K2,4,1,ok,20260830-125548_perlmutter_8d7b8e2d,l01_slipstream_trace-610042_b1_k8_isolated,3.287,1.629,0.011,1.639,0.515,0.155,3.95,3.243,3.31,
Slipstream,l01_slipstream,K2,4,2,ok,20260830-125548_perlmutter_8d7b8e2d,l01_slipstream_trace-610042_b2_k8_isolated,4.028,1.941,0.014,2.058,0.512,0.149,4.679,3.973,4.129,
Slipstream,l01_slipstream,K2,4,4,ok,20260830-125548_perlmutter_8d7b8e2d,l01_slipstream_trace-610042_b4_k8_isolated,6.021,2.581,0.018,3.371,0.561,0.501,6.928,5.644,6.283,
Slipstream,l01_slipstream,K2,4,8,ok,20260830-125548_perlmutter_8d7b8e2d,l01_slipstream_trace-610042_b8_k8_isolated,8.943,3.9,0.03,4.997,0.579,0.203,9.702,8.688,9.294,
Slipstream,l01_slipstream,K2,4,16,ok,20260830-125548_perlmutter_8d7b8e2d,l01_slipstream_trace-610042_b16_k8_isolated,15.502,7.199,0.06,8.36,0.683,0.548,16.63,15.091,16.057,
Slipstream,l01_slipstream,K2,4,32,ok,20260830-125548_perlmutter_8d7b8e2d,l01_slipstream_trace-610042_b32_k8_isolated,27.484,12.962,0.119,14.477,0.867,0.308,28.716,25.92,29.186,
Slipstream,l01_slipstream,K2,4,64,ok,20260830-125548_perlmutter_8d7b8e2d,l01_slipstream_trace-610042_b64_k8_isolated,54.644,24.101,0.213,30.31,1.313,0.518,56.423,51.301,56.543,
COMET,l01_allgather_dense,Qwen,4,1,ok,20260830-131406_perlmutter_ec2d332a,l01_allgather_dense_trace-a2e8ab_b1_k8_isolated,4.061,1.351,0.01,2.672,0.242,0.154,4.454,4.006,4.209,
COMET,l01_allgather_dense,Qwen,4,2,ok,20260830-131406_perlmutter_ec2d332a,l01_allgather_dense_trace-a2e8ab_b2_k8_isolated,4.453,1.655,0.014,2.787,0.254,0.175,4.882,4.429,6.696,
COMET,l01_allgather_dense,Qwen,4,4,ok,20260830-131406_perlmutter_ec2d332a,l01_allgather_dense_trace-a2e8ab_b4_k8_isolated,5.47,2.267,0.023,3.174,0.269,0.197,5.928,5.404,5.54,
COMET,l01_allgather_dense,Qwen,4,8,ok,20260830-131406_perlmutter_ec2d332a,l01_allgather_dense_trace-a2e8ab_b8_k8_isolated,7.949,3.594,0.044,4.25,0.313,0.284,8.653,7.616,8.159,
COMET,l01_allgather_dense,Qwen,4,16,ok,20260830-131406_perlmutter_ec2d332a,l01_allgather_dense_trace-a2e8ab_b16_k8_isolated,14.48,6.543,0.098,7.842,0.412,0.299,15.132,14.137,15.013,
COMET,l01_allgather_dense,Qwen,4,32,ok,20260830-131406_perlmutter_ec2d332a,l01_allgather_dense_trace-a2e8ab_b32_k8_isolated,27.635,12.611,0.224,14.673,0.587,0.434,28.504,26.29,28.806,
COMET,l01_allgather_dense,Qwen,4,64,ok,20260830-131406_perlmutter_ec2d332a,l01_allgather_dense_trace-a2e8ab_b64_k8_isolated,52.131,23.813,0.252,28.299,0.86,0.66,53.465,51.558,54.447,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,Qwen,4,1,ok,20260830-132917_perlmutter_5115d51b,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b1_k8_isolated,3.459,1.933,0.011,1.508,1.299,0.269,4.878,3.376,3.988,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,Qwen,4,2,ok,20260830-132917_perlmutter_5115d51b,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b2_k8_isolated,5.364,2.839,0.015,2.5,1.324,0.15,6.769,5.272,5.526,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,Qwen,4,4,ok,20260830-132917_perlmutter_5115d51b,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b4_k8_isolated,9.192,4.836,0.024,4.342,1.323,0.169,10.653,8.86,9.648,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,Qwen,4,8,ok,20260830-132917_perlmutter_5115d51b,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b8_k8_isolated,16.895,8.623,0.05,8.295,1.378,0.162,18.368,16.673,18.033,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,Qwen,4,16,ok,20260830-132917_perlmutter_5115d51b,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b16_k8_isolated,32.062,15.789,0.062,16.17,1.604,0.19,33.95,31.542,32.834,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,Qwen,4,32,ok,20260830-132917_perlmutter_5115d51b,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b32_k8_isolated,65.837,32.577,0.181,33.171,2.222,0.491,68.481,64.482,66.649,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,Qwen,4,64,ok,20260830-132917_perlmutter_5115d51b,ours_l01_s1_pv2_r2_dwire_trace-a2e8ab_b64_k8_isolated,124.694,62.127,0.36,62.079,3.579,0.552,128.808,122.417,126.484,
OURS-s1,ours_l01_s1_pv2_r2,Qwen,4,1,ok,20260830-132059_perlmutter_d9abac47,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated,2.221,1.12,0.012,1.08,0.641,0.138,2.996,2.204,2.307,
OURS-s1,ours_l01_s1_pv2_r2,Qwen,4,2,ok,20260830-132059_perlmutter_d9abac47,ours_l01_s1_pv2_r2_trace-a2e8ab_b2_k8_isolated,2.692,1.324,0.014,1.367,0.631,0.26,3.566,2.652,4.623,
OURS-s1,ours_l01_s1_pv2_r2,Qwen,4,4,ok,20260830-132059_perlmutter_d9abac47,ours_l01_s1_pv2_r2_trace-a2e8ab_b4_k8_isolated,3.722,1.691,0.022,2.006,0.734,0.178,4.587,3.574,3.748,
OURS-s1,ours_l01_s1_pv2_r2,Qwen,4,8,ok,20260830-132059_perlmutter_d9abac47,ours_l01_s1_pv2_r2_trace-a2e8ab_b8_k8_isolated,5.844,2.636,0.04,3.093,0.776,0.153,6.746,5.46,6.047,
OURS-s1,ours_l01_s1_pv2_r2,Qwen,4,16,ok,20260830-132059_perlmutter_d9abac47,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated,10.666,4.876,0.058,5.646,0.864,0.372,11.672,10.261,11.049,
OURS-s1,ours_l01_s1_pv2_r2,Qwen,4,32,ok,20260830-132059_perlmutter_d9abac47,ours_l01_s1_pv2_r2_trace-a2e8ab_b32_k8_isolated,19.25,8.68,0.097,10.527,1.801,0.419,21.199,18.691,19.724,
OURS-s1,ours_l01_s1_pv2_r2,Qwen,4,64,ok,20260830-132059_perlmutter_d9abac47,ours_l01_s1_pv2_r2_trace-a2e8ab_b64_k8_isolated,37.67,16.318,0.299,20.686,2.579,0.524,40.53,35.58,39.243,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,Qwen,4,1,ok,20260830-132519_perlmutter_b3393d58,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b1_k8_isolated,2.325,1.217,0.014,1.101,0.805,0.153,3.925,2.296,2.369,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,Qwen,4,2,ok,20260830-132519_perlmutter_b3393d58,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b2_k8_isolated,2.73,1.334,0.014,1.396,0.847,0.151,4.362,2.695,2.772,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,Qwen,4,4,ok,20260830-132519_perlmutter_b3393d58,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b4_k8_isolated,3.711,1.701,0.021,1.98,0.927,0.166,5.416,3.666,3.868,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,Qwen,4,8,ok,20260830-132519_perlmutter_b3393d58,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b8_k8_isolated,5.932,2.663,0.04,3.224,0.958,0.152,7.725,5.706,6.323,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,Qwen,4,16,ok,20260830-132519_perlmutter_b3393d58,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b16_k8_isolated,10.681,4.968,0.067,5.588,1.1,0.546,13.139,10.027,11.261,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,Qwen,4,32,ok,20260830-132519_perlmutter_b3393d58,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b32_k8_isolated,19.578,8.753,0.131,10.704,2.144,0.54,22.824,18.701,20.801,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,Qwen,4,64,ok,20260830-132519_perlmutter_b3393d58,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b64_k8_isolated,37.693,16.638,0.3,21.125,2.921,0.274,41.485,35.944,39.653,
PLL-pv2,llc_l01_s1_pv2,Qwen,4,1,ok,20260830-131825_perlmutter_20c2e29a,llc_l01_s1_pv2_trace-a2e8ab_b1_k8_isolated,4.046,3.073,0.01,0.958,0.861,0.455,5.277,3.999,4.093,
PLL-pv2,llc_l01_s1_pv2,Qwen,4,2,ok,20260830-131825_perlmutter_20c2e29a,llc_l01_s1_pv2_trace-a2e8ab_b2_k8_isolated,4.51,3.273,0.014,1.219,0.869,0.286,5.66,4.463,4.53,
PLL-pv2,llc_l01_s1_pv2,Qwen,4,4,ok,20260830-131825_perlmutter_20c2e29a,llc_l01_s1_pv2_trace-a2e8ab_b4_k8_isolated,6.133,3.944,0.021,2.17,1.0,0.268,7.45,6.005,6.296,
PLL-pv2,llc_l01_s1_pv2,Qwen,4,8,ok,20260830-131825_perlmutter_20c2e29a,llc_l01_s1_pv2_trace-a2e8ab_b8_k8_isolated,8.539,5.21,0.04,3.275,1.119,0.28,9.911,8.349,9.182,
PLL-pv2,llc_l01_s1_pv2,Qwen,4,16,ok,20260830-131825_perlmutter_20c2e29a,llc_l01_s1_pv2_trace-a2e8ab_b16_k8_isolated,14.226,7.865,0.082,6.314,1.258,0.288,15.796,14.019,14.758,
PLL-pv2,llc_l01_s1_pv2,Qwen,4,32,ok,20260830-131825_perlmutter_20c2e29a,llc_l01_s1_pv2_trace-a2e8ab_b32_k8_isolated,27.681,14.048,0.154,13.468,1.6,0.299,29.706,27.496,29.217,
PLL-pv2,llc_l01_s1_pv2,Qwen,4,64,ok,20260830-131825_perlmutter_20c2e29a,llc_l01_s1_pv2_trace-a2e8ab_b64_k8_isolated,52.164,26.54,0.325,25.431,2.313,0.301,54.838,51.615,53.468,
Slipstream,l01_slipstream,Qwen,4,1,ok,20260830-131606_perlmutter_2fb51950,l01_slipstream_trace-a2e8ab_b1_k8_isolated,2.377,1.185,0.011,1.19,0.491,0.157,3.07,2.316,2.503,
Slipstream,l01_slipstream,Qwen,4,2,ok,20260830-131606_perlmutter_2fb51950,l01_slipstream_trace-a2e8ab_b2_k8_isolated,3.008,1.443,0.014,1.539,0.506,0.219,3.752,2.921,3.11,
Slipstream,l01_slipstream,Qwen,4,4,ok,20260830-131606_perlmutter_2fb51950,l01_slipstream_trace-a2e8ab_b4_k8_isolated,4.399,2.022,0.018,2.357,0.547,0.204,5.149,4.302,5.363,
Slipstream,l01_slipstream,Qwen,4,8,ok,20260830-131606_perlmutter_2fb51950,l01_slipstream_trace-a2e8ab_b8_k8_isolated,7.623,3.329,0.034,4.192,0.62,0.571,8.723,7.248,8.023,
Slipstream,l01_slipstream,Qwen,4,16,ok,20260830-131606_perlmutter_2fb51950,l01_slipstream_trace-a2e8ab_b16_k8_isolated,14.235,6.58,0.055,7.733,0.794,0.599,15.478,13.88,14.849,
Slipstream,l01_slipstream,Qwen,4,32,ok,20260830-131606_perlmutter_2fb51950,l01_slipstream_trace-a2e8ab_b32_k8_isolated,27.274,11.948,0.106,15.273,1.148,0.395,28.721,26.006,29.291,
Slipstream,l01_slipstream,Qwen,4,64,ok,20260830-131606_perlmutter_2fb51950,l01_slipstream_trace-a2e8ab_b64_k8_isolated,52.743,22.29,0.21,30.175,1.933,0.546,55.185,50.055,54.44,
COMET,l01_allgather_dense,K2,8,1,ok,20260830-130408_perlmutter_00e156e4,l01_allgather_dense_trace-610042_b1_k8_isolated,6.287,2.785,0.008,3.446,0.265,0.204,6.801,6.121,8.185,
COMET,l01_allgather_dense,K2,8,2,ok,20260830-130408_perlmutter_00e156e4,l01_allgather_dense_trace-610042_b2_k8_isolated,7.396,3.216,0.013,4.174,0.267,0.269,7.963,7.27,7.94,
COMET,l01_allgather_dense,K2,8,4,ok,20260830-130408_perlmutter_00e156e4,l01_allgather_dense_trace-610042_b4_k8_isolated,10.016,4.472,0.019,5.448,0.291,0.298,10.695,9.794,10.415,
COMET,l01_allgather_dense,K2,8,8,ok,20260830-130408_perlmutter_00e156e4,l01_allgather_dense_trace-610042_b8_k8_isolated,15.998,7.237,0.036,8.694,0.327,0.299,16.582,15.122,16.478,
COMET,l01_allgather_dense,K2,8,16,ok,20260830-130408_perlmutter_00e156e4,l01_allgather_dense_trace-610042_b16_k8_isolated,29.434,13.471,0.055,15.835,0.392,0.562,30.338,27.65,32.732,
COMET,l01_allgather_dense,K2,8,32,ok,20260830-130408_perlmutter_00e156e4,l01_allgather_dense_trace-610042_b32_k8_isolated,56.025,26.324,0.168,29.362,0.514,0.85,57.296,54.007,60.934,
COMET,l01_allgather_dense,K2,8,64,ok,20260830-130408_perlmutter_00e156e4,l01_allgather_dense_trace-610042_b64_k8_isolated,114.011,55.544,0.119,57.297,0.829,1.104,115.961,109.393,119.722,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,8,1,ok,20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,4.715,2.742,0.009,1.987,1.358,0.228,6.13,4.626,8.746,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,8,2,ok,20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b2_k8_isolated,6.957,3.847,0.013,3.023,1.28,0.211,8.397,6.751,7.351,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,8,4,ok,20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b4_k8_isolated,12.32,6.457,0.02,5.707,1.464,0.229,13.774,11.566,12.745,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,8,8,ok,20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b8_k8_isolated,21.383,11.148,0.033,9.988,1.391,0.245,23.146,20.409,21.72,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,8,16,ok,20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b16_k8_isolated,41.229,21.564,0.064,19.68,1.841,0.544,43.424,39.958,41.891,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,8,32,ok,20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b32_k8_isolated,79.411,41.346,0.114,37.669,2.545,0.666,82.368,77.233,80.097,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,8,64,ok,20260830-133707_perlmutter_56d770b0,ours_l01_s1_pv2_r2_dwire_trace-610042_b64_k8_isolated,155.361,80.069,0.221,75.055,3.903,0.576,159.59,152.821,157.71,
OURS-s1,ours_l01_s1_pv2_r2,K2,8,1,ok,20260830-131319_perlmutter_e67680e8,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,4.774,2.588,0.01,2.169,0.728,0.194,5.684,4.718,5.435,
OURS-s1,ours_l01_s1_pv2_r2,K2,8,2,ok,20260830-131319_perlmutter_e67680e8,ours_l01_s1_pv2_r2_trace-610042_b2_k8_isolated,5.552,2.934,0.017,2.583,0.785,0.192,6.567,5.399,6.048,
OURS-s1,ours_l01_s1_pv2_r2,K2,8,4,ok,20260830-131319_perlmutter_e67680e8,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated,7.218,3.603,0.02,3.626,0.813,0.422,8.416,6.964,7.633,
OURS-s1,ours_l01_s1_pv2_r2,K2,8,8,ok,20260830-131319_perlmutter_e67680e8,ours_l01_s1_pv2_r2_trace-610042_b8_k8_isolated,11.276,5.014,0.037,6.123,0.93,0.221,12.395,10.782,11.743,
OURS-s1,ours_l01_s1_pv2_r2,K2,8,16,ok,20260830-131319_perlmutter_e67680e8,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated,17.946,8.387,0.058,9.275,1.178,0.517,19.428,17.197,18.368,
OURS-s1,ours_l01_s1_pv2_r2,K2,8,32,ok,20260830-131319_perlmutter_e67680e8,ours_l01_s1_pv2_r2_trace-610042_b32_k8_isolated,32.131,14.964,0.11,17.421,2.026,0.214,34.283,29.995,33.771,
OURS-s1,ours_l01_s1_pv2_r2,K2,8,64,ok,20260830-131319_perlmutter_e67680e8,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,59.272,27.26,0.195,32.312,3.212,0.37,62.456,57.609,65.495,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,8,1,ok,20260830-131745_perlmutter_d063b5ec,ours_l01_s2_swap_force_p2p_r2_trace-610042_b1_k8_isolated,4.768,2.627,0.011,2.177,1.15,0.516,7.084,4.666,8.334,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,8,2,ok,20260830-131745_perlmutter_d063b5ec,ours_l01_s2_swap_force_p2p_r2_trace-610042_b2_k8_isolated,5.635,3.008,0.015,2.595,1.275,0.24,7.822,5.495,7.286,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,8,4,ok,20260830-131745_perlmutter_d063b5ec,ours_l01_s2_swap_force_p2p_r2_trace-610042_b4_k8_isolated,7.385,3.595,0.019,3.783,1.107,0.508,9.701,7.105,7.98,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,8,8,ok,20260830-131745_perlmutter_d063b5ec,ours_l01_s2_swap_force_p2p_r2_trace-610042_b8_k8_isolated,11.194,4.987,0.032,6.132,1.181,0.213,13.284,10.844,11.706,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,8,16,ok,20260830-131745_perlmutter_d063b5ec,ours_l01_s2_swap_force_p2p_r2_trace-610042_b16_k8_isolated,18.104,8.379,0.066,9.592,1.617,0.552,20.985,17.279,25.043,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,8,32,ok,20260830-131745_perlmutter_d063b5ec,ours_l01_s2_swap_force_p2p_r2_trace-610042_b32_k8_isolated,31.892,14.309,0.115,16.892,2.425,0.477,35.149,30.071,33.235,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,8,64,ok,20260830-131745_perlmutter_d063b5ec,ours_l01_s2_swap_force_p2p_r2_trace-610042_b64_k8_isolated,60.047,27.491,0.226,32.404,4.209,0.339,64.512,55.151,66.404,
PLL-pv2,llc_l01_s1_pv2,K2,8,1,ok,20260830-131002_perlmutter_a4974c55,llc_l01_s1_pv2_trace-610042_b1_k8_isolated,6.85,4.83,0.009,2.004,0.915,0.34,8.073,6.821,6.898,
