layer,scale,run,timing_mode,algorithm,budget_mib,latency_ms,capsule
layer0,W16,revA,,hier_compress_lb_union_fused_eager,8,4.914,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_eager,8,4.924,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_eager,16,10.696,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_eager,16,9.285,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_eager,16,9.24,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_eager,32,19.539,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_fused_eager,32,19.479,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_fused_eager,32,19.524,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_fused_eager,64,43.925,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_fused_eager,64,43.661,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_fused_eager,64,50.639,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_fused_eager_early,1,1.24,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_eager_early,1,1.244,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_eager_early,1,1.231,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_eager_early,2,1.811,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_eager_early,2,1.717,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_eager_early,2,1.736,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_eager_early,4,2.619,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_eager_early,4,2.615,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_eager_early,4,2.638,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_eager_early,8,4.46,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_eager_early,8,4.441,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_eager_early,8,4.463,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_eager_early,16,8.76,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_eager_early,16,8.849,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_eager_early,16,8.817,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_eager_early,32,19.048,20260816-133612_perlmutter_01f7e410
