baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
MoonEP,moonep_l01_nvshmem_getmem,K2,4,1,ok,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b1_k8_isolated,12.806,5.658,0.033,7.136,1.798,0.14,14.654,12.653,12.921,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,2,ok,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b2_k8_isolated,16.71,9.199,0.034,7.413,1.642,0.454,18.562,16.559,17.199,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,4,ok,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b4_k8_isolated,22.614,12.9,0.041,9.937,1.769,0.193,24.449,21.616,23.26,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,8,ok,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b8_k8_isolated,32.091,13.058,0.081,18.826,1.8,0.251,33.987,31.528,33.045,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,16,ok,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b16_k8_isolated,41.856,16.821,0.137,25.121,1.811,0.249,43.796,41.107,43.195,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,32,ok,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b32_k8_isolated,59.342,33.26,0.246,25.506,1.802,0.261,61.3,58.315,60.149,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,64,ok,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b64_k8_isolated,115.71,58.788,0.478,56.381,2.603,0.621,117.942,112.76,117.386,
PLL,llc_l01_s1,K2,4,1,ok,20260824-154944_perlmutter_63c27792,llc_l01_s1_trace-610042_b1_k8_isolated,5.253,3.746,0.009,1.514,0.892,0.263,6.397,5.211,5.333,
PLL,llc_l01_s1,K2,4,2,ok,20260824-154944_perlmutter_63c27792,llc_l01_s1_trace-610042_b2_k8_isolated,5.886,4.017,0.012,1.845,0.932,0.284,7.078,5.817,5.981,
PLL,llc_l01_s1,K2,4,4,ok,20260824-154944_perlmutter_63c27792,llc_l01_s1_trace-610042_b4_k8_isolated,7.532,4.761,0.019,2.769,0.962,0.272,8.754,7.291,7.639,
PLL,llc_l01_s1,K2,4,8,ok,20260824-154944_perlmutter_63c27792,llc_l01_s1_trace-610042_b8_k8_isolated,10.707,6.041,0.028,4.612,1.131,0.273,12.22,10.467,11.145,
PLL,llc_l01_s1,K2,4,16,ok,20260824-154944_perlmutter_63c27792,llc_l01_s1_trace-610042_b16_k8_isolated,17.718,8.959,0.047,8.749,1.193,0.276,19.177,17.256,18.095,
PLL,llc_l01_s1,K2,4,32,ok,20260824-154944_perlmutter_63c27792,llc_l01_s1_trace-610042_b32_k8_isolated,32.315,15.659,0.118,16.574,1.349,0.288,34.089,31.457,33.186,
PLL,llc_l01_s1,K2,4,64,ok,20260824-154944_perlmutter_63c27792,llc_l01_s1_trace-610042_b64_k8_isolated,61.404,28.472,0.225,32.808,1.788,0.461,63.6,60.181,63.081,
Slipstream,l01_slipstream,K2,4,1,ok,20260824-153843_perlmutter_506ad7af,l01_slipstream_trace-610042_b1_k8_isolated,4.541,1.668,0.011,2.854,0.719,0.16,5.545,4.411,4.892,
Slipstream,l01_slipstream,K2,4,2,ok,20260824-153843_perlmutter_506ad7af,l01_slipstream_trace-610042_b2_k8_isolated,4.991,1.936,0.013,3.043,0.709,0.188,5.876,4.906,5.099,
Slipstream,l01_slipstream,K2,4,4,ok,20260824-153843_perlmutter_506ad7af,l01_slipstream_trace-610042_b4_k8_isolated,6.168,2.541,0.019,3.593,0.73,0.189,7.056,6.088,6.376,
Slipstream,l01_slipstream,K2,4,8,ok,20260824-153843_perlmutter_506ad7af,l01_slipstream_trace-610042_b8_k8_isolated,8.922,3.901,0.036,4.934,0.776,0.188,9.923,8.581,9.062,
Slipstream,l01_slipstream,K2,4,16,ok,20260824-153843_perlmutter_506ad7af,l01_slipstream_trace-610042_b16_k8_isolated,15.605,7.279,0.058,8.233,0.878,0.236,16.714,15.042,16.597,
Slipstream,l01_slipstream,K2,4,32,ok,20260824-153843_perlmutter_506ad7af,l01_slipstream_trace-610042_b32_k8_isolated,28.239,13.102,0.12,14.805,1.066,0.532,29.752,26.443,29.302,
Slipstream,l01_slipstream,K2,4,64,ok,20260824-153843_perlmutter_506ad7af,l01_slipstream_trace-610042_b64_k8_isolated,53.36,24.149,0.223,28.37,1.511,0.444,55.303,51.01,56.869,
Torch+GEMM,l01_torch,K2,4,1,ok,20260824-153143_perlmutter_ad0c03ab,l01_torch_trace-610042_b1_k8_isolated,9.455,3.949,0.034,5.425,0.429,0.146,10.005,9.065,12.812,
Torch+GEMM,l01_torch,K2,4,2,ok,20260824-153143_perlmutter_ad0c03ab,l01_torch_trace-610042_b2_k8_isolated,9.762,3.822,0.034,5.939,0.413,0.132,10.301,9.713,10.958,
Torch+GEMM,l01_torch,K2,4,4,ok,20260824-153143_perlmutter_ad0c03ab,l01_torch_trace-610042_b4_k8_isolated,11.451,3.895,0.034,7.525,0.434,0.145,12.028,11.367,12.084,
Torch+GEMM,l01_torch,K2,4,8,ok,20260824-153143_perlmutter_ad0c03ab,l01_torch_trace-610042_b8_k8_isolated,14.791,4.113,0.044,10.774,0.448,0.144,15.383,14.556,18.098,
Torch+GEMM,l01_torch,K2,4,16,ok,20260824-153143_perlmutter_ad0c03ab,l01_torch_trace-610042_b16_k8_isolated,24.621,7.019,0.061,17.734,0.565,0.215,25.402,24.27,25.081,
Torch+GEMM,l01_torch,K2,4,32,ok,20260824-153143_perlmutter_ad0c03ab,l01_torch_trace-610042_b32_k8_isolated,46.697,13.085,0.118,33.371,0.632,0.299,47.555,46.151,47.415,
Torch+GEMM,l01_torch,K2,4,64,ok,20260824-153143_perlmutter_ad0c03ab,l01_torch_trace-610042_b64_k8_isolated,86.49,23.16,0.216,63.006,0.751,0.35,87.545,85.74,88.574,
COMET,l01_allgather_dense,Qwen,4,1,ok,20260824-160344_perlmutter_c69340fb,l01_allgather_dense_trace-a2e8ab_b1_k8_isolated,4.01,1.323,0.01,2.686,0.242,0.201,4.457,3.984,4.077,
COMET,l01_allgather_dense,Qwen,4,2,ok,20260824-160344_perlmutter_c69340fb,l01_allgather_dense_trace-a2e8ab_b2_k8_isolated,4.486,1.652,0.014,2.818,0.252,0.163,4.901,4.408,4.516,
COMET,l01_allgather_dense,Qwen,4,4,ok,20260824-160344_perlmutter_c69340fb,l01_allgather_dense_trace-a2e8ab_b4_k8_isolated,5.485,2.328,0.023,3.129,0.27,0.191,5.932,5.394,5.663,
COMET,l01_allgather_dense,Qwen,4,8,ok,20260824-160344_perlmutter_c69340fb,l01_allgather_dense_trace-a2e8ab_b8_k8_isolated,7.943,3.66,0.036,4.196,0.317,0.294,8.533,7.638,8.064,
COMET,l01_allgather_dense,Qwen,4,16,ok,20260824-160344_perlmutter_c69340fb,l01_allgather_dense_trace-a2e8ab_b16_k8_isolated,14.373,6.638,0.064,7.713,0.409,0.294,15.018,13.71,16.852,
COMET,l01_allgather_dense,Qwen,4,32,ok,20260824-160344_perlmutter_c69340fb,l01_allgather_dense_trace-a2e8ab_b32_k8_isolated,27.005,12.427,0.104,14.368,0.584,0.354,27.825,25.92,29.478,
COMET,l01_allgather_dense,Qwen,4,64,ok,20260824-160344_perlmutter_c69340fb,l01_allgather_dense_trace-a2e8ab_b64_k8_isolated,53.316,23.62,0.312,28.385,0.867,0.608,54.94,50.543,59.542,
EPIC,epic_l01_hc_m1,Qwen,4,1,ok,20260824-161146_perlmutter_c8dfe3ed,epic_l01_hc_m1_trace-a2e8ab_b1_k8_isolated,4.378,3.375,0.009,0.991,2.409,0.283,6.981,4.299,4.466,
EPIC,epic_l01_hc_m1,Qwen,4,2,ok,20260824-161146_perlmutter_c8dfe3ed,epic_l01_hc_m1_trace-a2e8ab_b2_k8_isolated,5.148,3.745,0.014,1.382,2.446,0.285,7.801,5.035,5.461,
EPIC,epic_l01_hc_m1,Qwen,4,4,ok,20260824-161146_perlmutter_c8dfe3ed,epic_l01_hc_m1_trace-a2e8ab_b4_k8_isolated,6.864,4.53,0.02,2.301,2.447,0.276,9.458,6.637,7.838,
EPIC,epic_l01_hc_m1,Qwen,4,8,ok,20260824-161146_perlmutter_c8dfe3ed,epic_l01_hc_m1_trace-a2e8ab_b8_k8_isolated,10.314,5.984,0.042,4.273,2.482,0.283,13.019,9.944,10.658,
EPIC,epic_l01_hc_m1,Qwen,4,16,ok,20260824-161146_perlmutter_c8dfe3ed,epic_l01_hc_m1_trace-a2e8ab_b16_k8_isolated,17.463,9.095,0.073,8.177,2.531,0.288,20.196,16.849,18.158,
EPIC,epic_l01_hc_m1,Qwen,4,32,ok,20260824-161146_perlmutter_c8dfe3ed,epic_l01_hc_m1_trace-a2e8ab_b32_k8_isolated,32.54,16.617,0.15,15.62,3.411,0.284,36.181,31.266,32.916,
EPIC,epic_l01_hc_m1,Qwen,4,64,ok,20260824-161146_perlmutter_c8dfe3ed,epic_l01_hc_m1_trace-a2e8ab_b64_k8_isolated,63.016,31.733,0.303,31.089,5.262,0.33,68.583,60.793,64.464,
EPLB,eplb_l01,Qwen,4,1,ok,20260824-160844_perlmutter_41746609,eplb_l01_trace-a2e8ab_b1_k8_isolated,3.437,1.918,0.017,1.496,2.945,0.228,6.437,3.349,3.586,
EPLB,eplb_l01,Qwen,4,2,ok,20260824-160844_perlmutter_41746609,eplb_l01_trace-a2e8ab_b2_k8_isolated,5.498,2.775,0.023,2.724,2.906,0.251,8.507,5.189,5.787,
EPLB,eplb_l01,Qwen,4,4,ok,20260824-160844_perlmutter_41746609,eplb_l01_trace-a2e8ab_b4_k8_isolated,9.399,4.788,0.037,4.566,2.928,0.238,12.49,9.053,9.95,
EPLB,eplb_l01,Qwen,4,8,ok,20260824-160844_perlmutter_41746609,eplb_l01_trace-a2e8ab_b8_k8_isolated,17.181,8.613,0.077,8.578,2.943,0.425,20.274,16.784,18.31,
EPLB,eplb_l01,Qwen,4,16,ok,20260824-160844_perlmutter_41746609,eplb_l01_trace-a2e8ab_b16_k8_isolated,32.372,16.018,0.151,16.124,3.374,0.243,35.536,31.53,33.194,
EPLB,eplb_l01,Qwen,4,32,ok,20260824-160844_perlmutter_41746609,eplb_l01_trace-a2e8ab_b32_k8_isolated,63.226,31.333,0.312,31.352,3.644,0.362,66.972,61.547,65.103,
EPLB,eplb_l01,Qwen,4,64,ok,20260824-160844_perlmutter_41746609,eplb_l01_trace-a2e8ab_b64_k8_isolated,127.434,62.317,0.601,64.533,5.385,0.582,133.057,123.853,131.847,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,1,ok,20260824-161748_perlmutter_7ce25917,moonep_l01_nvshmem_getmem_trace-a2e8ab_b1_k8_isolated,7.708,4.808,0.018,3.021,1.76,0.148,9.526,7.623,7.967,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,2,ok,20260824-161748_perlmutter_7ce25917,moonep_l01_nvshmem_getmem_trace-a2e8ab_b2_k8_isolated,10.533,4.458,0.024,6.021,1.723,0.203,12.346,10.314,10.818,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,4,ok,20260824-161748_perlmutter_7ce25917,moonep_l01_nvshmem_getmem_trace-a2e8ab_b4_k8_isolated,13.814,5.756,0.036,7.936,1.363,0.554,15.667,13.38,14.08,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,8,ok,20260824-161748_perlmutter_7ce25917,moonep_l01_nvshmem_getmem_trace-a2e8ab_b8_k8_isolated,16.692,8.188,0.086,8.342,1.667,0.395,18.606,15.98,17.298,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,16,ok,20260824-161748_perlmutter_7ce25917,moonep_l01_nvshmem_getmem_trace-a2e8ab_b16_k8_isolated,36.061,15.879,0.156,20.056,1.673,0.397,38.005,35.123,36.545,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,32,ok,20260824-161748_perlmutter_7ce25917,moonep_l01_nvshmem_getmem_trace-a2e8ab_b32_k8_isolated,59.847,29.733,0.304,29.663,1.859,0.48,61.868,58.532,60.8,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,64,ok,20260824-161748_perlmutter_7ce25917,moonep_l01_nvshmem_getmem_trace-a2e8ab_b64_k8_isolated,114.724,55.953,0.6,58.386,2.193,0.456,117.384,113.108,117.228,
PLL,llc_l01_s1,Qwen,4,1,ok,20260824-161446_perlmutter_d47c15f2,llc_l01_s1_trace-a2e8ab_b1_k8_isolated,4.208,3.226,0.01,0.961,0.89,0.275,5.309,4.171,4.284,
PLL,llc_l01_s1,Qwen,4,2,ok,20260824-161446_perlmutter_d47c15f2,llc_l01_s1_trace-a2e8ab_b2_k8_isolated,4.928,3.528,0.011,1.326,0.889,0.28,6.081,4.777,5.928,
PLL,llc_l01_s1,Qwen,4,4,ok,20260824-161446_perlmutter_d47c15f2,llc_l01_s1_trace-a2e8ab_b4_k8_isolated,6.259,4.087,0.02,2.159,1.027,0.283,7.554,6.173,6.31,
PLL,llc_l01_s1,Qwen,4,8,ok,20260824-161446_perlmutter_d47c15f2,llc_l01_s1_trace-a2e8ab_b8_k8_isolated,9.397,5.333,0.028,4.029,1.172,0.274,10.811,9.249,9.547,
PLL,llc_l01_s1,Qwen,4,16,ok,20260824-161446_perlmutter_d47c15f2,llc_l01_s1_trace-a2e8ab_b16_k8_isolated,15.911,8.554,0.101,7.131,1.295,0.275,17.466,15.622,16.343,
PLL,llc_l01_s1,Qwen,4,32,ok,20260824-161446_perlmutter_d47c15f2,llc_l01_s1_trace-a2e8ab_b32_k8_isolated,29.719,15.679,0.198,13.828,1.692,0.313,31.741,29.076,32.368,
PLL,llc_l01_s1,Qwen,4,64,ok,20260824-161446_perlmutter_d47c15f2,llc_l01_s1_trace-a2e8ab_b64_k8_isolated,57.896,28.424,0.307,29.004,3.163,0.326,60.813,56.709,58.579,
Slipstream,l01_slipstream,Qwen,4,1,ok,20260824-160544_perlmutter_5260755d,l01_slipstream_trace-a2e8ab_b1_k8_isolated,2.367,1.181,0.011,1.174,0.689,0.145,3.193,2.306,2.411,
Slipstream,l01_slipstream,Qwen,4,2,ok,20260824-160544_perlmutter_5260755d,l01_slipstream_trace-a2e8ab_b2_k8_isolated,2.937,1.396,0.013,1.522,0.696,0.211,3.907,2.836,3.938,
Slipstream,l01_slipstream,Qwen,4,4,ok,20260824-160544_perlmutter_5260755d,l01_slipstream_trace-a2e8ab_b4_k8_isolated,4.33,1.981,0.019,2.296,0.739,0.408,5.409,4.156,4.778,
Slipstream,l01_slipstream,Qwen,4,8,ok,20260824-160544_perlmutter_5260755d,l01_slipstream_trace-a2e8ab_b8_k8_isolated,7.514,3.296,0.034,4.187,0.813,0.272,8.654,7.265,7.977,
Slipstream,l01_slipstream,Qwen,4,16,ok,20260824-160544_perlmutter_5260755d,l01_slipstream_trace-a2e8ab_b16_k8_isolated,14.142,6.332,0.046,7.721,0.994,0.515,15.531,13.693,15.308,
Slipstream,l01_slipstream,Qwen,4,32,ok,20260824-160544_perlmutter_5260755d,l01_slipstream_trace-a2e8ab_b32_k8_isolated,26.549,11.57,0.13,14.577,1.344,0.33,28.138,25.34,28.087,
Slipstream,l01_slipstream,Qwen,4,64,ok,20260824-160544_perlmutter_5260755d,l01_slipstream_trace-a2e8ab_b64_k8_isolated,53.752,23.02,0.21,30.548,2.117,0.553,56.269,49.671,56.138,
Torch+GEMM,l01_torch,Qwen,4,1,ok,20260824-160144_perlmutter_618cfaac,l01_torch_trace-a2e8ab_b1_k8_isolated,3.845,1.49,0.033,2.314,0.39,0.131,4.349,3.801,3.864,
Torch+GEMM,l01_torch,Qwen,4,2,ok,20260824-160144_perlmutter_618cfaac,l01_torch_trace-a2e8ab_b2_k8_isolated,4.66,1.487,0.033,3.16,0.402,0.146,5.191,4.575,5.256,
Torch+GEMM,l01_torch,Qwen,4,4,ok,20260824-160144_perlmutter_618cfaac,l01_torch_trace-a2e8ab_b4_k8_isolated,7.281,1.695,0.022,5.593,0.415,0.186,7.89,7.155,8.057,
Torch+GEMM,l01_torch,Qwen,4,8,ok,20260824-160144_perlmutter_618cfaac,l01_torch_trace-a2e8ab_b8_k8_isolated,12.877,3.082,0.04,9.595,0.453,0.182,13.505,12.538,13.364,
Torch+GEMM,l01_torch,Qwen,4,16,ok,20260824-160144_perlmutter_618cfaac,l01_torch_trace-a2e8ab_b16_k8_isolated,23.805,5.977,0.079,17.79,0.518,0.213,24.542,23.29,24.226,
Torch+GEMM,l01_torch,Qwen,4,32,ok,20260824-160144_perlmutter_618cfaac,l01_torch_trace-a2e8ab_b32_k8_isolated,47.529,11.372,0.154,36.043,0.694,0.372,48.674,46.771,48.004,
Torch+GEMM,l01_torch,Qwen,4,64,ok,20260824-160144_perlmutter_618cfaac,l01_torch_trace-a2e8ab_b64_k8_isolated,92.708,20.638,0.229,72.182,1.152,0.366,93.984,91.122,93.394,
COMET,l01_allgather_dense,K2,8,1,ok,20260824-161030_perlmutter_aaeb2b14,l01_allgather_dense_trace-610042_b1_k8_isolated,6.291,2.781,0.008,3.498,0.259,0.234,6.773,6.235,6.645,
COMET,l01_allgather_dense,K2,8,2,ok,20260824-161030_perlmutter_aaeb2b14,l01_allgather_dense_trace-610042_b2_k8_isolated,7.48,3.272,0.013,4.201,0.271,0.22,7.981,7.406,9.06,
COMET,l01_allgather_dense,K2,8,4,ok,20260824-161030_perlmutter_aaeb2b14,l01_allgather_dense_trace-610042_b4_k8_isolated,10.38,4.611,0.019,5.752,0.287,0.257,10.899,9.99,10.846,
COMET,l01_allgather_dense,K2,8,8,ok,20260824-161030_perlmutter_aaeb2b14,l01_allgather_dense_trace-610042_b8_k8_isolated,15.905,7.261,0.034,8.807,0.326,0.381,16.683,15.51,16.602,
COMET,l01_allgather_dense,K2,8,16,ok,20260824-161030_perlmutter_aaeb2b14,l01_allgather_dense_trace-610042_b16_k8_isolated,29.012,13.048,0.071,15.779,0.383,0.52,29.9,26.777,30.269,
COMET,l01_allgather_dense,K2,8,32,ok,20260824-161030_perlmutter_aaeb2b14,l01_allgather_dense_trace-610042_b32_k8_isolated,55.855,25.552,0.135,30.186,0.512,0.793,56.946,51.966,61.198,
COMET,l01_allgather_dense,K2,8,64,ok,20260824-161030_perlmutter_aaeb2b14,l01_allgather_dense_trace-610042_b64_k8_isolated,111.99,51.401,0.154,60.091,0.824,1.056,113.603,102.392,121.513,
EPIC,epic_l01_hc_m1,K2,8,1,ok,20260824-161932_perlmutter_b61c1890,epic_l01_hc_m1_trace-610042_b1_k8_isolated,7.352,5.252,0.009,2.097,2.287,0.554,9.933,7.301,7.439,
EPIC,epic_l01_hc_m1,K2,8,2,ok,20260824-161932_perlmutter_b61c1890,epic_l01_hc_m1_trace-610042_b2_k8_isolated,8.274,5.63,0.013,2.659,2.325,0.509,10.878,8.178,8.75,
EPIC,epic_l01_hc_m1,K2,8,4,ok,20260824-161932_perlmutter_b61c1890,epic_l01_hc_m1_trace-610042_b4_k8_isolated,10.227,6.542,0.019,3.716,2.38,0.386,12.845,9.896,12.616,
EPIC,epic_l01_hc_m1,K2,8,8,ok,20260824-161932_perlmutter_b61c1890,epic_l01_hc_m1_trace-610042_b8_k8_isolated,15.118,8.814,0.032,6.276,2.471,0.349,17.766,14.308,17.721,
EPIC,epic_l01_hc_m1,K2,8,16,ok,20260824-161932_perlmutter_b61c1890,epic_l01_hc_m1_trace-610042_b16_k8_isolated,25.718,13.496,0.061,12.108,2.486,0.36,28.462,24.432,26.689,
EPIC,epic_l01_hc_m1,K2,8,32,ok,20260824-161932_perlmutter_b61c1890,epic_l01_hc_m1_trace-610042_b32_k8_isolated,45.78,22.584,0.12,22.575,3.434,0.359,49.438,44.403,46.945,
EPIC,epic_l01_hc_m1,K2,8,64,ok,20260824-161932_perlmutter_b61c1890,epic_l01_hc_m1_trace-610042_b64_k8_isolated,88.183,43.38,0.24,45.656,5.255,0.683,93.794,82.542,95.966,
EPLB,eplb_l01,K2,8,1,ok,20260824-161549_perlmutter_625fe535,eplb_l01_trace-610042_b1_k8_isolated,4.923,2.797,0.013,2.112,2.944,0.287,7.974,4.743,5.147,
EPLB,eplb_l01,K2,8,2,ok,20260824-161549_perlmutter_625fe535,eplb_l01_trace-610042_b2_k8_isolated,7.21,3.809,0.018,3.3,2.929,0.289,10.29,6.952,7.689,
EPLB,eplb_l01,K2,8,4,ok,20260824-161549_perlmutter_625fe535,eplb_l01_trace-610042_b4_k8_isolated,12.927,6.521,0.028,6.362,2.94,0.465,15.967,12.465,13.4,
EPLB,eplb_l01,K2,8,8,ok,20260824-161549_perlmutter_625fe535,eplb_l01_trace-610042_b8_k8_isolated,22.641,11.443,0.049,11.18,2.985,0.382,25.688,21.667,24.186,
EPLB,eplb_l01,K2,8,16,ok,20260824-161549_perlmutter_625fe535,eplb_l01_trace-610042_b16_k8_isolated,43.081,21.711,0.127,21.31,3.174,0.63,46.255,42.217,44.636,
EPLB,eplb_l01,K2,8,32,ok,20260824-161549_perlmutter_625fe535,eplb_l01_trace-610042_b32_k8_isolated,84.333,41.945,0.242,42.274,4.348,0.856,88.642,81.891,86.455,
EPLB,eplb_l01,K2,8,64,ok,20260824-161549_perlmutter_625fe535,eplb_l01_trace-610042_b64_k8_isolated,167.913,82.766,0.473,85.105,5.629,0.673,173.827,166.112,171.443,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,1,ok,20260824-162712_perlmutter_0d5e000e,moonep_l01_nvshmem_getmem_trace-610042_b1_k8_isolated,15.779,7.596,0.021,9.613,2.199,0.26,17.618,15.248,17.638,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,2,ok,20260824-162712_perlmutter_0d5e000e,moonep_l01_nvshmem_getmem_trace-610042_b2_k8_isolated,14.857,6.759,0.025,8.078,1.746,0.295,16.718,14.746,16.063,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,4,ok,20260824-162712_perlmutter_0d5e000e,moonep_l01_nvshmem_getmem_trace-610042_b4_k8_isolated,24.61,11.122,0.034,13.503,1.729,0.336,26.455,24.485,24.974,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,8,ok,20260824-162712_perlmutter_0d5e000e,moonep_l01_nvshmem_getmem_trace-610042_b8_k8_isolated,30.922,15.919,0.069,15.277,1.503,0.518,32.85,30.446,31.675,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,16,ok,20260824-162712_perlmutter_0d5e000e,moonep_l01_nvshmem_getmem_trace-610042_b16_k8_isolated,48.601,23.528,0.128,24.454,1.713,0.369,50.532,47.306,50.621,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,32,ok,20260824-162712_perlmutter_0d5e000e,moonep_l01_nvshmem_getmem_trace-610042_b32_k8_isolated,78.539,44.145,0.238,34.106,1.836,0.672,80.689,76.672,81.116,
