nodes,model,budget,router,C,remote,incid,rows_max,gpu_ratio_max
16,K2,16,pv3,1/2,512118,395398,13056,1.3157831809832288
16,K2,16,pv3c,1/2,512118,346410,14460,1.0908939238055273
16,K2,16,pv3,1/1,512118,394855,13067,1.4673962244055703
16,K2,16,pv3c,1/1,512118,334656,14817,1.2487418888514505
16,Qwen,1,loccap,1/16,52344,28205,1674,1.4504992867332382
16,Qwen,1,pv3,1/16,52344,36864,1704,1.06437878983357
16,Qwen,1,pv3c,1/16,52344,35864,1630,1.0371262291792094
16,Qwen,1,pv3,1/8,52344,36665,1804,1.1263062830602504
16,Qwen,1,pv3c,1/8,52344,34693,1655,1.0644190246839254
16,Qwen,1,pv3,1/4,52344,36452,2005,1.251365267592448
16,Qwen,1,pv3c,1/4,52344,32840,1723,1.1141882400160545
16,Qwen,1,pv3,1/2,52344,36010,2282,1.4576183718229907
16,Qwen,1,pv3c,1/2,52344,30143,1919,1.1976907473864877
16,Qwen,1,pv3,1/1,52344,35571,2554,1.6441749451683654
16,Qwen,1,pv3c,1/1,52344,27963,2294,1.431736620377594
16,Qwen,4,loccap,1/16,209119,111092,6561,1.419864902245978
16,Qwen,4,pv3,1/16,209119,147702,6772,1.062948592219901
16,Qwen,4,pv3c,1/16,209119,143074,6460,1.0271459539910053
16,Qwen,4,pv3,1/8,209119,147000,7170,1.1254281612871133
16,Qwen,4,pv3c,1/8,209119,138222,6555,1.0554890477885268
16,Qwen,4,pv3,1/4,209119,145813,7881,1.2503872994215381
16,Qwen,4,pv3c,1/4,209119,130136,6769,1.102066105034894
16,Qwen,4,pv3,1/2,209119,144012,9023,1.475234156255774
16,Qwen,4,pv3c,1/2,209119,119175,7601,1.1986162861740486
16,Qwen,4,pv3,1/1,209119,142203,10047,1.6477493995082364
16,Qwen,4,pv3c,1/1,209119,110911,9162,1.4379095225016676
16,Qwen,16,loccap,1/16,835951,442838,26688,1.408131761866952
16,Qwen,16,pv3,1/16,835951,590808,27149,1.0625935674517364
16,Qwen,16,pv3c,1/16,835951,571537,25815,1.0259338838275731
16,Qwen,16,pv3,1/8,835951,587860,28745,1.1251104935259635
16,Qwen,16,pv3c,1/8,835951,551925,26157,1.0570789145542498
16,Qwen,16,pv3,1/4,835951,583201,31939,1.2501007700956785
16,Qwen,16,pv3c,1/4,835951,519960,27253,1.1051368179916572
16,Qwen,16,pv3,1/2,835951,575922,36552,1.4648860413970626
16,Qwen,16,pv3c,1/2,835951,475145,30293,1.1856476090764096
16,Qwen,16,pv3,1/1,835951,568925,40408,1.6378923846094011
16,Qwen,16,pv3c,1/1,835951,442999,36723,1.4373134766484994
