model,variant,budget,topic,status,total_ms,e2e_ms
Kimi-K2,l01_slipstream,4,philosophy,ok,6.286,5.57
Kimi-K2,l01_slipstream,4,professional_law,ok,7.473,6.674
Kimi-K2,l01_slipstream,8,clinical_knowledge,ok,9.973,9.107
Kimi-K2,l01_slipstream,8,college_mathematics,ok,10.037,9.148
Kimi-K2,l01_slipstream,8,electrical_engineeri,ok,9.705,8.915
Kimi-K2,l01_slipstream,8,execution,ok,10.153,9.169
Kimi-K2,l01_slipstream,8,high_school_psycholo,ok,9.662,8.836
Kimi-K2,l01_slipstream,8,high_school_world_hi,ok,9.878,8.764
Kimi-K2,l01_slipstream,8,philosophy,ok,9.368,8.625
Kimi-K2,l01_slipstream,8,professional_law,ok,10.464,9.407
Kimi-K2,l01_slipstream,16,clinical_knowledge,ok,15.781,14.863
Kimi-K2,l01_slipstream,16,college_mathematics,ok,16.445,15.422
Kimi-K2,l01_slipstream,16,electrical_engineeri,ok,16.46,15.296
Kimi-K2,l01_slipstream,16,execution,ok,16.584,15.586
Kimi-K2,l01_slipstream,16,high_school_psycholo,ok,16.227,15.047
Kimi-K2,l01_slipstream,16,high_school_world_hi,ok,15.546,14.54
Kimi-K2,l01_slipstream,16,philosophy,ok,16.182,15.135
Kimi-K2,l01_slipstream,16,professional_law,ok,16.6,15.686
Kimi-K2,l01_slipstream,32,clinical_knowledge,ok,28.63,27.176
Kimi-K2,l01_slipstream,32,college_mathematics,ok,29.043,27.728
Kimi-K2,l01_slipstream,32,electrical_engineeri,ok,28.951,27.818
Kimi-K2,l01_slipstream,32,execution,ok,29.016,27.93
Kimi-K2,l01_slipstream,32,high_school_psycholo,ok,28.615,27.227
Kimi-K2,l01_slipstream,32,high_school_world_hi,ok,28.261,26.846
Kimi-K2,l01_slipstream,32,philosophy,ok,28.099,26.837
Kimi-K2,l01_slipstream,32,professional_law,ok,30.347,28.935
Kimi-K2,l01_slipstream,64,clinical_knowledge,ok,52.841,51.058
Kimi-K2,l01_slipstream,64,college_mathematics,ok,53.648,52.011
Kimi-K2,l01_slipstream,64,electrical_engineeri,ok,53.522,51.758
Kimi-K2,l01_slipstream,64,execution,ok,54.923,52.974
Kimi-K2,l01_slipstream,64,high_school_psycholo,ok,54.766,52.839
Kimi-K2,l01_slipstream,64,high_school_world_hi,ok,51.738,49.75
Kimi-K2,l01_slipstream,64,philosophy,ok,51.581,49.761
Kimi-K2,l01_slipstream,64,professional_law,ok,58.595,56.722
Kimi-K2,llc_l01_s1_pv2,1,clinical_knowledge,ok,6.358,5.203
Kimi-K2,llc_l01_s1_pv2,1,college_mathematics,ok,6.285,5.124
Kimi-K2,llc_l01_s1_pv2,1,electrical_engineeri,ok,6.42,5.189
Kimi-K2,llc_l01_s1_pv2,1,execution,ok,6.36,5.186
Kimi-K2,llc_l01_s1_pv2,1,high_school_psycholo,ok,6.353,5.185
Kimi-K2,llc_l01_s1_pv2,1,high_school_world_hi,ok,6.364,5.184
Kimi-K2,llc_l01_s1_pv2,1,philosophy,ok,6.336,5.181
Kimi-K2,llc_l01_s1_pv2,1,professional_law,ok,6.546,5.199
Kimi-K2,llc_l01_s1_pv2,2,clinical_knowledge,ok,7.056,5.809
Kimi-K2,llc_l01_s1_pv2,2,college_mathematics,ok,7.113,5.85
Kimi-K2,llc_l01_s1_pv2,2,electrical_engineeri,ok,7.156,5.815
Kimi-K2,llc_l01_s1_pv2,2,execution,ok,7.058,5.817
Kimi-K2,llc_l01_s1_pv2,2,high_school_psycholo,ok,6.978,5.803
Kimi-K2,llc_l01_s1_pv2,2,high_school_world_hi,ok,6.969,5.782
Kimi-K2,llc_l01_s1_pv2,2,philosophy,ok,7.155,5.712
Kimi-K2,llc_l01_s1_pv2,2,professional_law,ok,7.372,6.013
Kimi-K2,llc_l01_s1_pv2,4,clinical_knowledge,ok,8.972,7.584
Kimi-K2,llc_l01_s1_pv2,4,college_mathematics,ok,9.064,7.767
Kimi-K2,llc_l01_s1_pv2,4,electrical_engineeri,ok,8.988,7.505
Kimi-K2,llc_l01_s1_pv2,4,execution,ok,9.19,7.708
Kimi-K2,llc_l01_s1_pv2,4,high_school_psycholo,ok,9.012,7.776
Kimi-K2,llc_l01_s1_pv2,4,high_school_world_hi,ok,8.905,7.559
Kimi-K2,llc_l01_s1_pv2,4,philosophy,ok,8.709,7.398
Kimi-K2,llc_l01_s1_pv2,4,professional_law,ok,9.416,8.075
Kimi-K2,llc_l01_s1_pv2,8,clinical_knowledge,ok,12.648,11.242
Kimi-K2,llc_l01_s1_pv2,8,college_mathematics,ok,12.786,11.14
Kimi-K2,llc_l01_s1_pv2,8,electrical_engineeri,ok,12.818,11.109
Kimi-K2,llc_l01_s1_pv2,8,execution,ok,13.256,11.617
Kimi-K2,llc_l01_s1_pv2,8,high_school_psycholo,ok,12.672,11.18
Kimi-K2,llc_l01_s1_pv2,8,high_school_world_hi,ok,13.118,11.615
Kimi-K2,llc_l01_s1_pv2,8,philosophy,ok,12.836,11.219
Kimi-K2,llc_l01_s1_pv2,8,professional_law,ok,13.97,12.418
Kimi-K2,llc_l01_s1_pv2,16,clinical_knowledge,ok,19.935,18.36
Kimi-K2,llc_l01_s1_pv2,16,college_mathematics,ok,19.955,18.419
Kimi-K2,llc_l01_s1_pv2,16,electrical_engineeri,ok,20.3,18.463
Kimi-K2,llc_l01_s1_pv2,16,execution,ok,20.946,19.163
Kimi-K2,llc_l01_s1_pv2,16,high_school_psycholo,ok,20.562,18.798
Kimi-K2,llc_l01_s1_pv2,16,high_school_world_hi,ok,20.322,18.858
Kimi-K2,llc_l01_s1_pv2,16,philosophy,ok,20.39,18.816
Kimi-K2,llc_l01_s1_pv2,16,professional_law,ok,22.803,21.08
Kimi-K2,llc_l01_s1_pv2,32,clinical_knowledge,ok,36.327,34.696
Kimi-K2,llc_l01_s1_pv2,32,college_mathematics,ok,35.442,33.83
Kimi-K2,llc_l01_s1_pv2,32,electrical_engineeri,ok,35.772,33.977
Kimi-K2,llc_l01_s1_pv2,32,execution,ok,38.384,36.547
Kimi-K2,llc_l01_s1_pv2,32,high_school_psycholo,ok,36.454,34.651
Kimi-K2,llc_l01_s1_pv2,32,high_school_world_hi,ok,37.077,35.108
Kimi-K2,llc_l01_s1_pv2,32,philosophy,ok,36.603,34.771
Kimi-K2,llc_l01_s1_pv2,32,professional_law,ok,41.677,39.876
Kimi-K2,llc_l01_s1_pv2,64,clinical_knowledge,ok,69.03,66.745
Kimi-K2,llc_l01_s1_pv2,64,college_mathematics,ok,67.431,65.089
Kimi-K2,llc_l01_s1_pv2,64,electrical_engineeri,ok,68.223,66.072
Kimi-K2,llc_l01_s1_pv2,64,execution,ok,75.083,72.736
Kimi-K2,llc_l01_s1_pv2,64,high_school_psycholo,ok,69.722,67.515
Kimi-K2,llc_l01_s1_pv2,64,high_school_world_hi,ok,70.86,68.739
Kimi-K2,llc_l01_s1_pv2,64,philosophy,ok,69.768,67.654
Kimi-K2,llc_l01_s1_pv2,64,professional_law,ok,82.857,80.467
Kimi-K2,moonep_l01_nvshmem_getmem,1,clinical_knowledge,ok,14.635,
Kimi-K2,moonep_l01_nvshmem_getmem,1,college_mathematics,ok,17.64,
Kimi-K2,moonep_l01_nvshmem_getmem,1,electrical_engineeri,ok,14.589,
Kimi-K2,moonep_l01_nvshmem_getmem,1,execution,ok,20.511,
Kimi-K2,moonep_l01_nvshmem_getmem,1,high_school_psycholo,ok,17.207,
Kimi-K2,moonep_l01_nvshmem_getmem,1,high_school_world_hi,ok,14.734,
Kimi-K2,moonep_l01_nvshmem_getmem,1,philosophy,ok,15.071,
Kimi-K2,moonep_l01_nvshmem_getmem,1,professional_law,ok,19.631,
Kimi-K2,moonep_l01_nvshmem_getmem,2,clinical_knowledge,ok,16.403,
Kimi-K2,moonep_l01_nvshmem_getmem,2,college_mathematics,ok,18.749,
Kimi-K2,moonep_l01_nvshmem_getmem,2,electrical_engineeri,ok,16.163,
Kimi-K2,moonep_l01_nvshmem_getmem,2,execution,ok,16.469,
Kimi-K2,moonep_l01_nvshmem_getmem,2,high_school_psycholo,ok,18.849,
Kimi-K2,moonep_l01_nvshmem_getmem,2,high_school_world_hi,ok,17.082,
Kimi-K2,moonep_l01_nvshmem_getmem,2,philosophy,ok,16.13,
Kimi-K2,moonep_l01_nvshmem_getmem,2,professional_law,ok,19.635,
Kimi-K2,moonep_l01_nvshmem_getmem,4,clinical_knowledge,ok,19.168,
Kimi-K2,moonep_l01_nvshmem_getmem,4,college_mathematics,ok,24.792,
Kimi-K2,moonep_l01_nvshmem_getmem,4,electrical_engineeri,ok,24.705,
Kimi-K2,moonep_l01_nvshmem_getmem,4,execution,ok,21.671,
Kimi-K2,moonep_l01_nvshmem_getmem,4,high_school_psycholo,ok,21.557,
Kimi-K2,moonep_l01_nvshmem_getmem,4,high_school_world_hi,ok,19.501,
Kimi-K2,moonep_l01_nvshmem_getmem,4,philosophy,ok,21.688,
Kimi-K2,moonep_l01_nvshmem_getmem,4,professional_law,ok,22.087,
Kimi-K2,moonep_l01_nvshmem_getmem,8,clinical_knowledge,ok,25.998,
Kimi-K2,moonep_l01_nvshmem_getmem,8,college_mathematics,ok,27.71,
Kimi-K2,moonep_l01_nvshmem_getmem,8,electrical_engineeri,ok,26.561,
Kimi-K2,moonep_l01_nvshmem_getmem,8,execution,ok,25.938,
Kimi-K2,moonep_l01_nvshmem_getmem,8,high_school_psycholo,ok,29.05,
Kimi-K2,moonep_l01_nvshmem_getmem,8,high_school_world_hi,ok,26.317,
Kimi-K2,moonep_l01_nvshmem_getmem,8,philosophy,ok,26.369,
Kimi-K2,moonep_l01_nvshmem_getmem,8,professional_law,ok,32.488,
Kimi-K2,moonep_l01_nvshmem_getmem,16,clinical_knowledge,ok,39.617,
Kimi-K2,moonep_l01_nvshmem_getmem,16,college_mathematics,ok,44.125,
Kimi-K2,moonep_l01_nvshmem_getmem,16,electrical_engineeri,ok,39.381,
Kimi-K2,moonep_l01_nvshmem_getmem,16,execution,ok,43.344,
Kimi-K2,moonep_l01_nvshmem_getmem,16,high_school_psycholo,ok,42.236,
Kimi-K2,moonep_l01_nvshmem_getmem,16,high_school_world_hi,ok,37.176,
Kimi-K2,moonep_l01_nvshmem_getmem,16,philosophy,ok,37.162,
Kimi-K2,moonep_l01_nvshmem_getmem,16,professional_law,ok,39.919,
Kimi-K2,moonep_l01_nvshmem_getmem,32,clinical_knowledge,ok,63.07,
Kimi-K2,moonep_l01_nvshmem_getmem,32,college_mathematics,ok,63.512,
Kimi-K2,moonep_l01_nvshmem_getmem,32,electrical_engineeri,ok,62.417,
Kimi-K2,moonep_l01_nvshmem_getmem,32,execution,ok,63.338,
Kimi-K2,moonep_l01_nvshmem_getmem,32,high_school_psycholo,ok,62.234,
Kimi-K2,moonep_l01_nvshmem_getmem,32,high_school_world_hi,ok,67.856,
Kimi-K2,moonep_l01_nvshmem_getmem,32,philosophy,ok,60.849,
Kimi-K2,moonep_l01_nvshmem_getmem,32,professional_law,ok,68.043,
Kimi-K2,moonep_l01_nvshmem_getmem,64,clinical_knowledge,ok,118.954,
Kimi-K2,moonep_l01_nvshmem_getmem,64,college_mathematics,ok,120.167,
Kimi-K2,moonep_l01_nvshmem_getmem,64,electrical_engineeri,ok,115.672,
Kimi-K2,moonep_l01_nvshmem_getmem,64,execution,ok,117.932,
Kimi-K2,moonep_l01_nvshmem_getmem,64,high_school_psycholo,ok,113.897,
Kimi-K2,moonep_l01_nvshmem_getmem,64,high_school_world_hi,ok,115.473,
Kimi-K2,moonep_l01_nvshmem_getmem,64,philosophy,ok,118.107,
Kimi-K2,moonep_l01_nvshmem_getmem,64,professional_law,ok,125.484,
Kimi-K2,ours_l01_s1_pv2_r2,1,clinical_knowledge,ok,4.102,3.314
Kimi-K2,ours_l01_s1_pv2_r2,1,college_mathematics,ok,4.072,3.279
Kimi-K2,ours_l01_s1_pv2_r2,1,electrical_engineeri,ok,4.115,3.325
Kimi-K2,ours_l01_s1_pv2_r2,1,execution,ok,4.199,3.378
Kimi-K2,ours_l01_s1_pv2_r2,1,high_school_psycholo,ok,4.086,3.292
Kimi-K2,ours_l01_s1_pv2_r2,1,high_school_world_hi,ok,4.027,3.244
Kimi-K2,ours_l01_s1_pv2_r2,1,philosophy,ok,4.034,3.256
Kimi-K2,ours_l01_s1_pv2_r2,1,professional_law,ok,4.137,3.341
Kimi-K2,ours_l01_s1_pv2_r2,2,clinical_knowledge,ok,4.7,3.907
Kimi-K2,ours_l01_s1_pv2_r2,2,college_mathematics,ok,4.706,3.9
Kimi-K2,ours_l01_s1_pv2_r2,2,electrical_engineeri,ok,4.652,3.852
Kimi-K2,ours_l01_s1_pv2_r2,2,execution,ok,4.943,3.941
Kimi-K2,ours_l01_s1_pv2_r2,2,high_school_psycholo,ok,4.858,4.026
Kimi-K2,ours_l01_s1_pv2_r2,2,high_school_world_hi,ok,4.713,3.869
Kimi-K2,ours_l01_s1_pv2_r2,2,philosophy,ok,4.703,3.898
Kimi-K2,ours_l01_s1_pv2_r2,2,professional_law,ok,4.83,3.995
Kimi-K2,ours_l01_s1_pv2_r2,4,clinical_knowledge,ok,6.209,5.361
Kimi-K2,ours_l01_s1_pv2_r2,4,college_mathematics,ok,6.302,5.393
Kimi-K2,ours_l01_s1_pv2_r2,4,electrical_engineeri,ok,6.335,5.458
Kimi-K2,ours_l01_s1_pv2_r2,4,execution,ok,6.374,5.476
Kimi-K2,ours_l01_s1_pv2_r2,4,high_school_psycholo,ok,6.516,5.613
Kimi-K2,ours_l01_s1_pv2_r2,4,high_school_world_hi,ok,6.324,5.479
Kimi-K2,ours_l01_s1_pv2_r2,4,philosophy,ok,6.248,5.418
Kimi-K2,ours_l01_s1_pv2_r2,4,professional_law,ok,6.35,5.47
Kimi-K2,ours_l01_s1_pv2_r2,8,clinical_knowledge,ok,9.425,8.555
Kimi-K2,ours_l01_s1_pv2_r2,8,college_mathematics,ok,9.37,8.41
Kimi-K2,ours_l01_s1_pv2_r2,8,electrical_engineeri,ok,9.667,8.545
Kimi-K2,ours_l01_s1_pv2_r2,8,execution,ok,9.628,8.711
Kimi-K2,ours_l01_s1_pv2_r2,8,high_school_psycholo,ok,9.548,8.662
Kimi-K2,ours_l01_s1_pv2_r2,8,high_school_world_hi,ok,9.525,8.493
Kimi-K2,ours_l01_s1_pv2_r2,8,philosophy,ok,9.61,8.573
Kimi-K2,ours_l01_s1_pv2_r2,8,professional_law,ok,9.827,8.909
Kimi-K2,ours_l01_s1_pv2_r2,16,clinical_knowledge,ok,15.184,14.019
Kimi-K2,ours_l01_s1_pv2_r2,16,college_mathematics,ok,15.017,13.901
Kimi-K2,ours_l01_s1_pv2_r2,16,electrical_engineeri,ok,15.065,14.033
Kimi-K2,ours_l01_s1_pv2_r2,16,execution,ok,15.561,14.396
Kimi-K2,ours_l01_s1_pv2_r2,16,high_school_psycholo,ok,15.507,14.264
Kimi-K2,ours_l01_s1_pv2_r2,16,high_school_world_hi,ok,15.399,14.277
Kimi-K2,ours_l01_s1_pv2_r2,16,philosophy,ok,15.0,14.016
Kimi-K2,ours_l01_s1_pv2_r2,16,professional_law,ok,15.858,14.651
Kimi-K2,ours_l01_s1_pv2_r2,32,clinical_knowledge,ok,26.95,25.324
Kimi-K2,ours_l01_s1_pv2_r2,32,college_mathematics,ok,26.444,24.696
Kimi-K2,ours_l01_s1_pv2_r2,32,electrical_engineeri,ok,26.944,25.08
Kimi-K2,ours_l01_s1_pv2_r2,32,execution,ok,27.325,25.557
Kimi-K2,ours_l01_s1_pv2_r2,32,high_school_psycholo,ok,28.085,26.218
Kimi-K2,ours_l01_s1_pv2_r2,32,high_school_world_hi,ok,27.98,26.049
Kimi-K2,ours_l01_s1_pv2_r2,32,philosophy,ok,26.807,24.969
Kimi-K2,ours_l01_s1_pv2_r2,32,professional_law,ok,28.396,26.445
Kimi-K2,ours_l01_s1_pv2_r2,64,clinical_knowledge,ok,49.882,47.38
Kimi-K2,ours_l01_s1_pv2_r2,64,college_mathematics,ok,49.358,47.101
Kimi-K2,ours_l01_s1_pv2_r2,64,electrical_engineeri,ok,50.275,47.929
Kimi-K2,ours_l01_s1_pv2_r2,64,execution,ok,51.072,48.743
Kimi-K2,ours_l01_s1_pv2_r2,64,high_school_psycholo,ok,51.479,49.174
Kimi-K2,ours_l01_s1_pv2_r2,64,high_school_world_hi,ok,50.021,47.765
Kimi-K2,ours_l01_s1_pv2_r2,64,philosophy,ok,49.031,46.807
Kimi-K2,ours_l01_s1_pv2_r2,64,professional_law,ok,53.806,51.353
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,1,clinical_knowledge,ok,5.105,3.371
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,1,college_mathematics,ok,5.014,3.293
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,1,electrical_engineeri,ok,5.111,3.349
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,1,execution,ok,5.049,3.278
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,1,high_school_psycholo,ok,5.125,3.355
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,1,high_school_world_hi,ok,5.024,3.274
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,1,philosophy,ok,5.09,3.352
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,1,professional_law,ok,5.069,3.332
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,2,clinical_knowledge,ok,5.983,3.908
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,2,college_mathematics,ok,5.709,3.914
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,2,electrical_engineeri,ok,5.689,3.915
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,2,execution,ok,5.74,3.951
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,2,high_school_psycholo,ok,5.835,3.936
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,2,high_school_world_hi,ok,5.671,3.922
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,2,philosophy,ok,5.755,3.859
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,2,professional_law,ok,6.019,3.946
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,4,clinical_knowledge,ok,7.426,5.324
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,4,college_mathematics,ok,7.264,5.33
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,4,electrical_engineeri,ok,7.314,5.322
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,4,execution,ok,7.398,5.491
