baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,deterministic,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
COMET,l01_allgather_dense,Qwen,16,4,ok,20260823-221753_perlmutter_dcee33e7,l01_allgather_dense_trace-a2e8ab_b4_k8_isolated,0,35.662,9.146,0.036,26.359,0.365,0.87,36.745,35.132,35.994,
COMET,l01_allgather_dense,Qwen,16,8,ok,20260823-221753_perlmutter_dcee33e7,l01_allgather_dense_trace-a2e8ab_b8_k8_isolated,0,46.158,15.269,0.025,30.618,0.51,1.25,47.57,44.423,47.45,
COMET,l01_allgather_dense,Qwen,16,16,ok,20260823-221753_perlmutter_dcee33e7,l01_allgather_dense_trace-a2e8ab_b16_k8_isolated,0,72.639,27.054,0.064,45.233,0.731,1.254,74.282,68.065,77.382,
COMET,l01_allgather_dense,Qwen,16,32,ok,20260823-221753_perlmutter_dcee33e7,l01_allgather_dense_trace-a2e8ab_b32_k8_isolated,0,123.745,56.498,0.145,69.353,1.344,1.63,126.178,116.037,133.688,
COMET,l01_allgather_dense,Qwen,16,64,ok,20260823-221753_perlmutter_dcee33e7,l01_allgather_dense_trace-a2e8ab_b64_k8_isolated,0,224.773,102.764,0.343,120.712,2.334,2.042,229.028,213.049,239.895,
EPIC,epic_l01_hc_m1,K2,4,1,ok,20260823-164638_perlmutter_28dc518c,epic_l01_hc_m1_trace-610042_b1_k8_isolated,0,7.591,3.971,0.009,3.614,2.483,0.283,10.2,7.479,8.227,
EPIC,epic_l01_hc_m1,K2,4,2,ok,20260823-164638_perlmutter_28dc518c,epic_l01_hc_m1_trace-610042_b2_k8_isolated,0,8.121,4.095,0.011,3.992,2.436,0.287,10.737,8.015,8.543,
EPIC,epic_l01_hc_m1,K2,4,4,ok,20260823-164638_perlmutter_28dc518c,epic_l01_hc_m1_trace-610042_b4_k8_isolated,0,9.423,4.87,0.017,4.481,2.38,0.507,12.005,9.293,9.514,
EPIC,epic_l01_hc_m1,K2,4,8,ok,20260823-164638_perlmutter_28dc518c,epic_l01_hc_m1_trace-610042_b8_k8_isolated,0,12.036,6.369,0.03,5.604,2.463,0.431,14.772,11.862,12.231,
EPIC,epic_l01_hc_m1,K2,4,16,ok,20260823-164638_perlmutter_28dc518c,epic_l01_hc_m1_trace-610042_b16_k8_isolated,0,18.236,9.403,0.057,8.788,2.463,0.298,20.904,17.826,18.923,
EPIC,epic_l01_hc_m1,K2,4,32,ok,20260823-164638_perlmutter_28dc518c,epic_l01_hc_m1_trace-610042_b32_k8_isolated,0,31.657,16.049,0.126,15.468,2.626,0.283,34.469,31.127,33.082,
EPIC,epic_l01_hc_m1,K2,4,64,ok,20260823-164638_perlmutter_28dc518c,epic_l01_hc_m1_trace-610042_b64_k8_isolated,0,59.768,30.115,0.227,28.934,3.622,0.323,63.608,58.246,61.191,
EPIC,epic_l01_hc_m1,K2,8,1,ok,20260823-171338_perlmutter_4e9784eb,epic_l01_hc_m1_trace-610042_b1_k8_isolated,0,15.394,5.317,0.009,10.051,2.371,0.354,17.978,15.204,16.684,
EPIC,epic_l01_hc_m1,K2,8,2,ok,20260823-171338_perlmutter_4e9784eb,epic_l01_hc_m1_trace-610042_b2_k8_isolated,0,15.925,5.689,0.012,10.224,2.376,0.356,18.501,15.722,16.221,
EPIC,epic_l01_hc_m1,K2,8,4,ok,20260823-171338_perlmutter_4e9784eb,epic_l01_hc_m1_trace-610042_b4_k8_isolated,0,17.73,6.611,0.019,11.072,2.371,0.495,20.3,17.386,19.009,
