# Figure tables generated from docs/handoff/30_arms_synthesis_results_tidy.csv
# See figure_tables.py docstring for layout/conventions.

# === Qwen 3 | 4n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Torch + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,15.576,18.126,23.502,34.672,63.159,115.989,222.263,,0.981,0.912,1.18,1.326,1.549,2.008,3.822,,5.913,7.004,9.692,15.047,27.725,53.032,100.258,,8.692,10.243,12.658,18.725,33.773,61.169,118.686
MoonEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPLB,9.867,13.23,19.759,32.556,60.85,117.311,227.03,,4.528,4.461,4.718,5.192,6.224,8.6,13.094,,3.56,5.066,8.404,14.97,29.826,59.146,111.89,,2.214,3.772,6.996,12.636,25.366,49.806,102.075
EPIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Ours(Token Comm),12.881,13.505,17.164,22.766,35.553,64.395,121.628,,1.346,1.245,1.521,1.642,2.029,3.128,5.15,,6.874,7.228,8.475,10.82,16.742,30.642,58.079,,4.799,5.151,7.308,10.206,16.983,31.564,59.77
2 Ours(expert balance + Routing),15.115,16.029,18.091,22.963,34.187,54.876,102.14,,1.537,1.631,2.219,2.037,2.861,3.435,4.704,,9.41,9.761,10.414,12.357,16.928,28.34,51.435,,4.216,4.679,5.535,8.518,14.2,24.037,46.867
1+2,12.613,13.687,15.626,20.424,27.916,47.584,85.785,,1.347,1.738,1.762,2.202,2.996,4.627,6.702,,6.835,7.116,7.715,9.577,13.137,21.893,39.468,,4.415,4.949,6.112,8.973,12.204,21.327,40.656
1+2 s2 (always-solve+swap),14.022,15.055,17.061,21.851,28.654,49.379,86.724,,1.687,2.405,2.46,2.956,3.216,5.358,7.91,,6.866,7.191,7.922,9.453,13.228,22.737,40.644,,4.446,4.814,5.878,9.019,11.879,21.281,38.481
1+2 (direct wire),7.224,10.215,16.216,27.839,52.518,99.165,199.759,,2.134,2.27,1.866,2.592,3.842,5.774,8.979,,3.4,4.924,8.265,14.703,27.931,54.058,109.136,,2.22,3.5,5.916,10.683,21.408,39.087,83.331
1+2 + expert dispatch overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
