# Figure tables generated from docs/handoff/18_authentic_l01_results_tidy.csv
# See figure_tables.py docstring for layout/conventions.

# === Qwen 3 | 4n ===
EPLB,7.974,10.29,15.967,25.688,46.255,88.642,173.827,,3.231,3.218,3.405,3.367,3.804,5.204,6.302,,2.81,3.827,6.549,11.492,21.838,42.187,83.239,,2.112,3.3,6.362,11.18,21.31,42.274,85.105
EPIC,9.933,10.878,12.845,17.766,28.462,49.438,93.794,,2.841,2.834,2.766,2.82,2.846,3.793,5.938,,5.261,5.643,6.561,8.846,13.557,22.704,43.62,,2.097,2.659,3.716,6.276,12.108,22.575,45.656
1 Ours(Token Comm),6.984,7.839,9.815,13.886,23.273,43.429,80.634,,1,1.244,1.319,1.234,1.325,1.838,2.533,,2.768,3.085,4.127,6.127,10.591,20.337,37.01,,3.285,3.59,4.349,6.552,11.449,21.644,41.115
2 Ours(expert balance + Routing),8.339,9.277,11.569,16.219,25.373,45.623,88.227,,1.274,1.315,1.496,1.76,1.727,2.166,3.239,,5.037,5.466,6.276,8.456,12.137,21.75,39.111,,2.049,2.479,3.571,6.184,11.054,21.972,45.452
1+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1+2 + expert dispatch overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# === Qwen 3 | 16n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Torch + GEMM,6.597,10.215,17.529,33.97,66.055,,,,0.722,0.812,0.915,1.443,1.884,,,,2.208,3.104,5.132,9.368,17.468,,,,3.787,6.432,11.927,23.868,47.18,,
FAST + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,16.324,18.646,24.43,36.128,65.671,125.07,234.386,,0.957,1.064,1.118,1.618,2.089,2.875,4.327,,5.605,6.788,9.749,15.644,29.768,59.529,120.585,,9.987,10.89,13.716,18.366,34.138,60.182,113.083
MoonEP,14.339,15.526,19.705,29.328,52.244,91.845,181.324,,2.106,2.384,2.355,2.79,3.409,4.747,7.827,,6.418,7.02,9.259,15.392,29.752,48.579,98.292,,6.264,6.365,8.11,11.214,18.45,37.832,75.961
EPLB,8.118,11.143,16.812,30.256,57.422,111.745,225.267,,3.43,3.39,3.231,4.218,6.631,10.897,19.372,,3.146,4.761,7.711,14.263,27.691,54.599,113.596,,2.004,3.315,6.092,11.58,23.172,45.85,92.495
EPIC,16.45,17.595,20.216,26.783,42.777,76.114,142.051,,2.751,2.872,2.911,3.663,5.411,9.047,16.699,,9.517,10.104,11.359,13.709,20.697,35.671,64.21,,4.337,4.898,6.254,9.594,17.139,31.933,60.956
1 Ours(Token Comm),12.254,13.35,16.719,23.393,38.608,69.411,131.396,,1.309,1.362,1.846,2.132,2.897,4.402,7.055,,6.691,7.003,8.256,11.147,17.277,30.553,57.49,,4.413,5.145,6.91,10.282,18.527,34.85,64.279
2 Ours(expert balance + Routing),15.524,16.365,18.5,23.818,33.726,57.081,106.215,,1.73,2.187,2.232,3,3.794,4.893,6.996,,9.364,9.89,10.629,13.278,17.28,27.974,50.42,,4.28,4.49,5.506,7.889,13.091,24.268,48.839
1+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1+2 + expert dispatch overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# === Kimi K2 | 16n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Torch + GEMM,7.488,10.082,17.133,32.077,61.893,,,,0.749,0.746,0.873,1.107,1.402,,,,2.19,2.689,5.071,9.009,17.255,,,,4.37,6.682,11.29,21.901,43.11,,
FAST + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,15.295,18.152,23.457,36.289,62.731,123.251,233.749,,0.999,1.013,1.129,1.253,1.598,2.173,3.819,,5.74,7.085,9.635,15.737,28.093,59.488,115.833,,8.575,10.194,12.982,18.905,32.775,61.584,115.862
MoonEP,20.304,24.819,27.591,41.219,58.739,100.565,202.295,,2.516,2.465,2.158,2.629,3.511,3.851,5.681,,9.305,8.91,10.686,19.892,33.508,58.369,113.805,,9.357,13.815,14.844,19.106,23.407,38.292,82.922
EPLB,9.748,12.932,19.825,32.243,59.047,114.833,227.513,,4.425,4.498,4.945,5.253,6.326,8.982,13.475,,3.325,4.931,8.589,14.657,28.409,56.264,115.386,,2.167,3.628,6.942,12.729,24.606,49.842,99.712
EPIC,16.405,17.771,19.913,25.94,39.394,69.727,127.079,,3.005,2.801,2.824,3.003,3.737,5.745,9.851,,9.541,10.213,11.328,13.778,19.377,34.17,58.388,,4.24,4.922,6.08,9.4,16.56,30.306,59.488
1 Ours(Token Comm),13.625,14.561,16.877,23.262,35.424,65.735,121.4,,1.233,1.536,1.589,1.554,2.105,3.042,5.134,,6.759,7.128,8.122,10.772,16.654,30.871,57.271,,5.675,5.995,7.296,10.9,17.016,32.254,59.373
2 Ours(expert balance + Routing),15.525,16.712,18.911,23.425,34.129,57.457,104.859,,1.563,1.612,1.876,2.245,2.716,3.516,5.268,,9.63,10.11,11.092,13.048,17.641,29.844,51.962,,4.343,4.837,5.826,8.328,13.865,24.081,48.468
1+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1+2 + expert dispatch overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
