nodes,model,row_id,row_label,budget_mib,total_ms,recorded_ms,stat,arm_variant,impl,capsule,cell_id,branch,git_sha,flag
4,Qwen,ours12,1+2,64,40.134,40.13,iter_max_median,ours_l01_s1_pv2_r2,ours,20260829-153207_perlmutter_df44245f,ours_l01_s1_pv2_r2_trace-a2e8ab_b64_k8_isolated,main,f3da6f3e2,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
4,Qwen,ours12_dispatch,1+2 + expert dispatch (re-solve every iteration no expert movement),1,3.728,3.728,iter_max_median,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,ours,20260915-062223,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=-4.2%
4,Qwen,ours12_dispatch,1+2 + expert dispatch (re-solve every iteration no expert movement),2,5.059,5.06,iter_max_median,ours_l01_s2_swap_force_p2p_r2,ours,20260829-034624_perlmutter_c904dffa,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b2_k8_isolated,main,044aaf804,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
4,Qwen,ours12_dispatch,1+2 + expert dispatch (re-solve every iteration no expert movement),4,5.34,5.34,iter_max_median,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,ours,20260915-062223,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=-2.7%
4,Qwen,ours12_dispatch,1+2 + expert dispatch (re-solve every iteration no expert movement),16,12.665,12.665,iter_max_median,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,ours,20260915-062223,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=-0.9%
4,Qwen,ours12_dispatch,1+2 + expert dispatch (re-solve every iteration no expert movement),64,41.397,41.40,iter_max_mean,ours_l01_s2_swap_force_p2p_r2,ours,20260829-005016_perlmutter_f4895678,ours_l01_s2_swap_force_p2p_r2_trace-a2e8ab_b64_k8_isolated,main,a24dce38f,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
4,K2,nvshmem_gemm,NVSHMEM a2av + GEMM,1,5.355,5.36,iter_max_mean,l01_nvshmem,nvshmem,20260831-051230_perlmutter_5b301226,l01_nvshmem_trace-610042_b1_k8_isolated,main,e270e40ec,
4,K2,nvshmem_gemm,NVSHMEM a2av + GEMM,2,7.465,7.47,iter_max_mean,l01_nvshmem,nvshmem,20260831-051230_perlmutter_5b301226,l01_nvshmem_trace-610042_b2_k8_isolated,main,e270e40ec,
4,K2,nvshmem_gemm,NVSHMEM a2av + GEMM,4,11.697,11.70,iter_max_mean,l01_nvshmem,nvshmem,20260831-051230_perlmutter_5b301226,l01_nvshmem_trace-610042_b4_k8_isolated,main,e270e40ec,
4,K2,nvshmem_gemm,NVSHMEM a2av + GEMM,16,40.080,40.08,iter_max_mean,l01_nvshmem,nvshmem,20260831-051230_perlmutter_5b301226,l01_nvshmem_trace-610042_b16_k8_isolated,main,e270e40ec,
4,K2,nvshmem_gemm,NVSHMEM a2av + GEMM,64,139.727,139.73,iter_max_mean,l01_nvshmem,nvshmem,20260831-051230_perlmutter_5b301226,l01_nvshmem_trace-610042_b64_k8_isolated,main,e270e40ec,
