nodes,system,budget_mib,C,total_ms,loccap_twin_ms,d_vs_twin_pct,twin_src,figure_ms,d_vs_figure_pct,arm_variant,capsule,cell_id,stat,kernel
16,dwire,1,1/2,6.828,6.947,-1.7,,7.2,-5.2,ours_l01_s1_pv2_r2_dwire_pv3c_eps05,20260915-175557_perlmutter_2b8026c7,ours_l01_s1_pv2_r2_dwire_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,v4
16,dwire,1,1/4,6.943,6.78,2.4,,7.2,-3.6,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,dwire,1,1/4,7.099,6.813,4.2,,7.2,-1.4,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,ours,1,1/2,13.211,12.861,2.7,,12.769,3.5,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,ours,1,1/2,13.02,12.939,0.6,,12.769,2.0,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,ours,1,1/2,12.649,12.611,0.3,,12.769,-0.9,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-175557_perlmutter_2b8026c7,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,v4
16,ours,1,1/4,13.135,12.861,2.1,,12.769,2.9,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,ours,1,1/4,13.079,12.939,1.1,,12.769,2.4,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,ours,64,1/2,88.967,84.682,5.1,,85.785,3.7,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-101015_perlmutter_7b545aec,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b64_k8_isolated,iter_max_median,campaign
16,ours,64,1/4,93.537,84.682,10.5,,85.785,9.0,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-101015_perlmutter_7b545aec,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b64_k8_isolated,iter_max_median,campaign
32,dwire,1,1/2,9.85,8.995,9.5,,9.252,6.5,ours_l01_s1_pv2_r2_dwire_pv3c_eps05,20260915-143919_perlmutter_74b6af42,ours_l01_s1_pv2_r2_dwire_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
32,dwire,1,1/2,8.658,8.865,-2.3,,9.252,-6.4,ours_l01_s1_pv2_r2_dwire_pv3c_eps05,20260915-175055_perlmutter_5b551467,ours_l01_s1_pv2_r2_dwire_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,v4
32,dwire,1,1/4,9.602,8.995,6.8,,9.252,3.8,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-143919_perlmutter_74b6af42,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
32,ours,1,1/2,38.631,38.191,1.2,,39.186,-1.4,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-131546_perlmutter_0a42f19c,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
32,ours,1,1/2,37.712,37.996,-0.7,,39.186,-3.8,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-175055_perlmutter_5b551467,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,v4
32,ours,1,1/4,38.68,38.191,1.3,,39.186,-1.3,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-131546_perlmutter_0a42f19c,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
32,ours,64,1/2,127.26,116.384,9.3,,120.173,5.9,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-131929_perlmutter_54c9a682,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b64_k8_isolated,iter_max_median,campaign
32,ours,64,1/4,128.175,116.384,10.1,,120.173,6.7,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-131929_perlmutter_54c9a682,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b64_k8_isolated,iter_max_median,campaign
