baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
COMET,l01_allgather_dense,K2,32,4,ok,20260902-235755_perlmutter_81951099,l01_allgather_dense_trace-610042_b4_k8_isolated,58.361,24.307,0.018,34.036,0.383,1.22,59.976,56.813,60.421,
COMET,l01_allgather_dense,K2,32,8,stuck,20260901-075429_perlmutter_04875008,l01_allgather_dense_trace-610042_b8_k8_isolated,,,,,,,,,,"CUDA illegal memory access in COMET dense-gather (failed) / wedge (stuck,timeout)"
COMET,l01_allgather_dense,K2,32,8,ok,20260902-235755_perlmutter_81951099,l01_allgather_dense_trace-610042_b8_k8_isolated,84.622,37.737,0.032,46.854,0.505,1.253,86.391,80.569,87.928,
COMET,l01_allgather_dense,K2,32,16,timeout,20260901-075429_perlmutter_04875008,l01_allgather_dense_trace-610042_b16_k8_isolated,,,,,,,,,,"CUDA illegal memory access in COMET dense-gather (failed) / wedge (stuck,timeout)"
COMET,l01_allgather_dense,K2,32,16,ok,20260902-235755_perlmutter_81951099,l01_allgather_dense_trace-610042_b16_k8_isolated,141.704,66.965,0.06,74.679,0.752,1.687,144.154,131.731,158.838,
COMET,l01_allgather_dense,K2,32,64,failed,20260901-075429_perlmutter_04875008,l01_allgather_dense_trace-610042_b64_k8_isolated,,,,,,,,,,"CUDA illegal memory access in COMET dense-gather (failed) / wedge (stuck,timeout)"
COMET,l01_allgather_dense,K2,32,64,failed,20260902-235755_perlmutter_81951099,l01_allgather_dense_trace-610042_b64_k8_isolated,,,,,,,,,,NVSHMEM symmetric heap exhausted (flux_shm.cc:117 ptr != nullptr) at 13G
COMET (heap probe),l01_allgather_dense,K2,32,64,failed,20260903-014242_perlmutter_3b9ec5ff,l01_allgather_dense_trace-610042_b64_k8_isolated,,,,,,,,,,torch OOM at 24G heap: needs 16.1 GiB torch (8 GiB gathered-buffer copy) + ~6.1 GiB overhead
COMET (heap probe),l01_allgather_dense,K2,32,64,failed,20260903-023656_perlmutter_979bf3fa,l01_allgather_dense_trace-610042_b64_k8_isolated,,,,,,,,,,NVSHMEM_MALLOC failed at 17G heap (+expandable_segments): heap demand > 17G
NVSHMEM ring,l01_nvshmem,K2,2,1,ok,20260904-004243_perlmutter_da6f9186,l01_nvshmem_trace-610042_b1_k8_isolated,4.056,1.987,0.009,2.06,0.82,0.114,5.003,3.912,4.33,
NVSHMEM ring,l01_nvshmem,K2,2,2,ok,20260904-004243_perlmutter_da6f9186,l01_nvshmem_trace-610042_b2_k8_isolated,5.701,2.742,0.012,2.947,0.821,0.113,6.649,5.415,5.937,
NVSHMEM ring,l01_nvshmem,K2,2,4,ok,20260904-004243_perlmutter_da6f9186,l01_nvshmem_trace-610042_b4_k8_isolated,9.094,4.311,0.018,4.764,0.824,0.265,10.196,7.802,9.865,
NVSHMEM ring,l01_nvshmem,K2,2,8,ok,20260904-004243_perlmutter_da6f9186,l01_nvshmem_trace-610042_b8_k8_isolated,14.321,6.758,0.031,7.532,0.911,0.245,15.49,13.63,14.8,
NVSHMEM ring,l01_nvshmem,K2,2,16,ok,20260904-004243_perlmutter_da6f9186,l01_nvshmem_trace-610042_b16_k8_isolated,26.842,13.631,0.059,13.151,0.914,0.166,27.935,25.615,28.518,
NVSHMEM ring,l01_nvshmem,K2,2,64,ok,20260904-004243_perlmutter_da6f9186,l01_nvshmem_trace-610042_b64_k8_isolated,104.17,49.414,0.231,54.525,0.93,0.402,105.516,101.576,107.005,
NVSHMEM ring,l01_nvshmem,K2,16,1,ok,20260904-120809_perlmutter_1d47cc75,l01_nvshmem_trace-610042_b1_k8_isolated,23.286,11.376,0.008,11.901,0.815,0.657,24.772,22.536,25.055,
NVSHMEM ring,l01_nvshmem,K2,32,1,ok,20260901-075429_perlmutter_5433d58e,l01_nvshmem_trace-610042_b1_k8_isolated,78.121,37.789,0.01,40.322,1.005,0.874,80.014,76.794,79.742,
NVSHMEM ring,l01_nvshmem,K2,32,1,ok,20260904-124333_perlmutter_caf4a55d,l01_nvshmem_trace-610042_b1_k8_isolated,79.845,38.286,0.01,41.549,1.005,0.911,81.774,77.408,80.489,
NVSHMEM ring,l01_nvshmem,K2,32,2,ok,20260901-075429_perlmutter_5433d58e,l01_nvshmem_trace-610042_b2_k8_isolated,81.662,39.778,0.013,41.871,1.003,0.96,83.638,79.772,82.452,
NVSHMEM ring,l01_nvshmem,K2,32,4,ok,20260901-075429_perlmutter_5433d58e,l01_nvshmem_trace-610042_b4_k8_isolated,90.024,41.791,0.019,48.214,1.018,1.162,92.217,88.092,91.762,
NVSHMEM ring,l01_nvshmem,K2,32,8,ok,20260901-075429_perlmutter_5433d58e,l01_nvshmem_trace-610042_b8_k8_isolated,106.001,44.633,0.033,61.336,1.121,1.237,108.373,103.185,108.543,
NVSHMEM ring,l01_nvshmem,K2,32,16,ok,20260901-075429_perlmutter_5433d58e,l01_nvshmem_trace-610042_b16_k8_isolated,125.646,50.551,0.061,75.035,1.185,1.49,128.335,122.902,129.802,
NVSHMEM ring,l01_nvshmem,K2,32,64,ok,20260901-075429_perlmutter_5433d58e,l01_nvshmem_trace-610042_b64_k8_isolated,362.583,131.435,0.232,230.916,1.824,4.214,368.636,356.418,366.868,
OURS dwire,ours_l01_s1_pv2_r2_dwire,K2,16,1,ok,20260904-120809_perlmutter_1d47cc75,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,5.641,3.535,0.009,2.097,1.214,0.33,7.2,4.867,7.66,
OURS dwire,ours_l01_s1_pv2_r2_dwire,K2,32,1,timeout,20260904-124333_perlmutter_caf4a55d,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,6.939,4.385,0.009,2.545,1.729,0.569,9.252,6.134,7.103,"timed loop complete (10/10 iters, all ranks); process hung at teardown -> runner watchdog"
OURS s1,ours_l01_s1_pv2_r2,K2,2,1,ok,20260901-101958_perlmutter_03919f49,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,3.505,1.711,0.011,1.783,0.58,0.12,4.224,3.427,3.593,
OURS s1,ours_l01_s1_pv2_r2,K2,2,1,ok,20260904-004243_perlmutter_da6f9186,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,3.518,1.714,0.012,1.793,0.578,0.127,4.24,3.461,3.579,
OURS s1,ours_l01_s1_pv2_r2,K2,2,2,ok,20260901-101958_perlmutter_03919f49,ours_l01_s1_pv2_r2_trace-610042_b2_k8_isolated,3.939,1.851,0.014,2.074,0.591,0.12,4.67,3.881,3.99,
OURS s1,ours_l01_s1_pv2_r2,K2,2,2,ok,20260904-004243_perlmutter_da6f9186,ours_l01_s1_pv2_r2_trace-610042_b2_k8_isolated,3.953,1.863,0.014,2.076,0.619,0.131,4.72,3.883,4.152,
OURS s1,ours_l01_s1_pv2_r2,K2,2,4,ok,20260901-101958_perlmutter_03919f49,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated,4.858,2.122,0.02,2.716,0.612,0.127,5.613,4.754,4.935,
OURS s1,ours_l01_s1_pv2_r2,K2,2,4,ok,20260904-004243_perlmutter_da6f9186,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated,4.891,2.135,0.02,2.735,0.606,0.124,5.638,4.815,4.98,
OURS s1,ours_l01_s1_pv2_r2,K2,2,8,ok,20260901-101958_perlmutter_03919f49,ours_l01_s1_pv2_r2_trace-610042_b8_k8_isolated,6.965,2.886,0.033,4.046,0.636,0.155,7.772,6.82,7.071,
OURS s1,ours_l01_s1_pv2_r2,K2,2,8,ok,20260904-004243_perlmutter_da6f9186,ours_l01_s1_pv2_r2_trace-610042_b8_k8_isolated,6.972,2.891,0.033,4.048,0.615,0.28,7.885,6.814,7.124,
OURS s1,ours_l01_s1_pv2_r2,K2,2,16,ok,20260901-101958_perlmutter_03919f49,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated,10.868,4.572,0.062,6.235,0.671,0.187,11.742,10.665,11.241,
OURS s1,ours_l01_s1_pv2_r2,K2,2,16,ok,20260904-004243_perlmutter_da6f9186,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated,10.79,4.521,0.062,6.207,0.685,0.208,11.697,10.594,10.959,
OURS s1,ours_l01_s1_pv2_r2,K2,2,64,ok,20260901-101958_perlmutter_03919f49,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,34.355,13.126,0.233,20.995,1.584,0.146,36.092,33.668,34.979,
OURS s1,ours_l01_s1_pv2_r2,K2,2,64,ok,20260904-004243_perlmutter_da6f9186,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,34.35,13.31,0.234,20.806,1.576,0.165,36.097,33.447,35.002,
OURS s1,ours_l01_s1_pv2_r2,K2,4,1,ok,20260901-021249_perlmutter_b288fb0a,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,3.292,1.647,0.012,1.633,0.659,0.188,4.153,3.224,3.455,
OURS s1,ours_l01_s1_pv2_r2,K2,4,2,ok,20260901-021249_perlmutter_b288fb0a,ours_l01_s1_pv2_r2_trace-610042_b2_k8_isolated,3.791,1.913,0.014,1.864,0.628,0.154,4.586,3.718,3.903,
OURS s1,ours_l01_s1_pv2_r2,K2,4,4,ok,20260901-021249_perlmutter_b288fb0a,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated,5.042,2.357,0.02,2.664,0.664,0.148,5.868,4.936,5.159,
OURS s1,ours_l01_s1_pv2_r2,K2,4,16,ok,20260901-021249_perlmutter_b288fb0a,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated,13.338,6.126,0.062,7.15,0.8,0.254,14.404,12.855,13.819,
OURS s1,ours_l01_s1_pv2_r2,K2,4,64,ok,20260901-021249_perlmutter_b288fb0a,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,44.709,19.603,0.234,24.873,1.887,0.373,46.975,41.99,46.732,
OURS s1,ours_l01_s1_pv2_r2,K2,16,1,ok,20260904-120809_perlmutter_1d47cc75,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,11.385,6.874,0.014,4.497,0.965,0.405,12.769,11.159,12.068,
OURS s1,ours_l01_s1_pv2_r2,K2,32,1,ok,20260901-024555_perlmutter_ffb6e32d,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,35.71,22.523,0.015,13.172,1.515,1.165,38.403,34.819,37.485,
OURS s1,ours_l01_s1_pv2_r2,K2,32,1,ok,20260904-124333_perlmutter_caf4a55d,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,36.416,23.116,0.015,13.286,1.562,1.195,39.186,33.94,37.379,
OURS s1,ours_l01_s1_pv2_r2,K2,32,2,ok,20260901-024555_perlmutter_ffb6e32d,ours_l01_s1_pv2_r2_trace-610042_b2_k8_isolated,36.167,22.725,0.016,13.426,1.76,1.03,38.969,35.548,37.137,
OURS s1,ours_l01_s1_pv2_r2,K2,32,4,ok,20260901-024555_perlmutter_ffb6e32d,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated,38.138,23.387,0.025,14.726,2.006,0.848,41.004,37.553,38.892,
OURS s1,ours_l01_s1_pv2_r2,K2,32,8,ok,20260901-024555_perlmutter_ffb6e32d,ours_l01_s1_pv2_r2_trace-610042_b8_k8_isolated,41.841,25.121,0.037,16.683,2.501,0.734,45.088,40.611,43.854,
OURS s1,ours_l01_s1_pv2_r2,K2,32,16,ok,20260901-024555_perlmutter_ffb6e32d,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated,49.27,28.365,0.068,20.838,3.253,1.148,53.684,48.18,51.457,
OURS s1,ours_l01_s1_pv2_r2,K2,32,64,ok,20260901-024555_perlmutter_ffb6e32d,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,108.947,55.769,0.238,52.939,10.158,1.063,120.173,103.813,115.676,
OURS s1 (gate),ours_l01_s1_pv2_r2,K2,32,1,failed,20260831-145745_perlmutter_9ac4adef,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,,,,,,,,,,kA2AVMaxNodes=16 cap (l1 ctor)
OURS s1 (gate),ours_l01_s1_pv2_r2,K2,32,1,failed,20260831-153615_perlmutter_ac34e504,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,,,,,,,,,,l0 owner bitmask u64 cap (world_size<=64)
OURS s1 (gate),ours_l01_s1_pv2_r2,K2,32,1,failed,20260831-220426_perlmutter_43acc85d,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,,,,,,,,,,a2av_stage1 smem > 48KB launch invalid argument
OURS s1 (gate),ours_l01_s1_pv2_r2,K2,32,1,ok,20260901-015222_perlmutter_fc16711c,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,36.304,22.79,0.015,13.5,1.934,5.49,43.741,34.455,38.456,
OURS s1 (gate),ours_l01_s1_pv2_r2,K2,32,64,failed,20260831-145745_perlmutter_9ac4adef,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,,,,,,,,,,kA2AVMaxNodes=16 cap (l1 ctor)
OURS s1 (gate),ours_l01_s1_pv2_r2,K2,32,64,failed,20260831-153615_perlmutter_ac34e504,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,,,,,,,,,,l0 owner bitmask u64 cap (world_size<=64)
OURS s1 (gate),ours_l01_s1_pv2_r2,K2,32,64,failed,20260831-220426_perlmutter_43acc85d,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,,,,,,,,,,a2av_stage1 smem > 48KB launch invalid argument
OURS s1 (gate),ours_l01_s1_pv2_r2,K2,32,64,ok,20260901-015222_perlmutter_fc16711c,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,108.14,56.093,0.238,51.809,11.143,1.161,120.449,104.442,114.98,
