row,cell,family,iteration,rank,node,why,span_ms,gemm_ms,nic_ms,nvlink_ms,reduce_ms,wait_ms
"Skewed / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,3,0,longest expert GEMM,56.83,42.21,26.63,8.79,33.48,3.75
"Skewed / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,5,1,shortest expert GEMM,56.82,21.12,26.15,8.76,16.3,20.94
Skewed / swap in host gap,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,8,2,longest expert GEMM,63.12,34.43,25.32,18.23,39.35,5.3
Skewed / swap in host gap,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,12,3,shortest expert GEMM,63.19,24.47,22.5,12.07,20.64,10.49
Skewed / sequential swap,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,11,2,longest expert GEMM,66.42,34.34,24.95,16.8,40.73,4.38
Skewed / sequential swap,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,12,3,shortest expert GEMM,66.42,22.27,22.72,12.0,20.41,9.68
Skewed / 3D-scheduled swap,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,9,2,longest expert GEMM,63.77,42.17,20.69,30.99,49.93,4.89
Skewed / 3D-scheduled swap,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,13,3,shortest expert GEMM,63.8,23.8,21.78,13.65,20.84,13.38
Skewed / swap under l0 GEMM,ablation_l01_s2_swapall_rst_3d_late3_str4_p2p_r2,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,9,2,longest expert GEMM,61.44,37.16,25.82,26.29,38.86,7.52
Skewed / swap under l0 GEMM,ablation_l01_s2_swapall_rst_3d_late3_str4_p2p_r2,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,12,3,shortest expert GEMM,61.47,23.84,24.15,11.85,20.26,11.74
